"Supplementary Table S10. Read-level sensitivity of different model architectures on variable-length reads simulated from 3,269 MAGs excluded from training",,,,,,,
MAG_ID_ENA,ResNet-like CNN,CNN + LSTM,Seq2species,Embed + Pool,Embed + CNN,Embed + LSTM,Embed + LSTM + Attention
MAG-GUT10881,0.000,0.000,0.000,0.167,0.033,0.267,0.551
MAG-GUT10883,0.000,0.000,0.000,0.031,0.001,0.103,0.487
MAG-GUT1088,0.000,0.000,0.000,0.016,0.003,0.115,0.456
MAG-GUT1089,0.000,0.001,0.002,0.052,0.005,0.103,0.298
MAG-GUT10909,0.000,0.000,0.000,0.070,0.007,0.147,0.390
MAG-GUT10928,0.000,0.000,0.000,0.014,0.000,0.080,0.291
MAG-GUT10982,0.000,0.000,0.000,0.027,0.000,0.084,0.426
MAG-GUT11004,0.000,0.000,0.000,0.001,0.000,0.023,0.258
MAG-GUT11014,0.000,0.002,0.014,0.017,0.005,0.074,0.284
MAG-GUT11020,0.000,0.000,0.000,0.019,0.000,0.072,0.268
MAG-GUT11036,0.000,0.000,0.000,0.001,0.000,0.016,0.258
MAG-GUT11037,0.000,0.000,0.000,0.252,0.038,0.465,0.669
MAG-GUT1103,0.000,0.000,0.000,0.024,0.005,0.127,0.467
MAG-GUT11041,0.000,0.000,0.000,0.012,0.001,0.027,0.247
MAG-GUT11046,0.000,0.000,0.000,0.008,0.005,0.058,0.157
MAG-GUT11063,0.000,0.000,0.000,0.030,0.000,0.096,0.476
MAG-GUT11071,0.000,0.000,0.000,0.007,0.001,0.037,0.285
MAG-GUT11107,0.000,0.000,0.000,0.008,0.000,0.050,0.386
MAG-GUT11142,0.000,0.000,0.000,0.001,0.000,0.016,0.290
MAG-GUT11152,0.000,0.003,0.016,0.182,0.041,0.268,0.436
MAG-GUT11153,0.000,0.000,0.000,0.005,0.000,0.032,0.208
MAG-GUT11169,0.000,0.000,0.001,0.005,0.000,0.030,0.268
MAG-GUT11171,0.000,0.000,0.000,0.029,0.001,0.096,0.477
MAG-GUT11185,0.000,0.000,0.000,0.006,0.000,0.036,0.307
MAG-GUT11187,0.000,0.000,0.000,0.010,0.005,0.077,0.216
MAG-GUT11210,0.000,0.000,0.000,0.073,0.003,0.196,0.656
MAG-GUT1122,0.000,0.001,0.001,0.108,0.021,0.217,0.529
MAG-GUT11274,0.000,0.000,0.000,0.006,0.000,0.041,0.339
MAG-GUT1128,0.000,0.001,0.002,0.105,0.018,0.209,0.519
MAG-GUT11304,0.000,0.003,0.016,0.171,0.035,0.256,0.419
MAG-GUT11308,0.000,0.000,0.000,0.014,0.001,0.033,0.271
MAG-GUT1131,0.000,0.001,0.002,0.108,0.018,0.222,0.523
MAG-GUT11332,0.000,0.000,0.000,0.073,0.003,0.192,0.674
MAG-GUT1133,0.000,0.000,0.001,0.101,0.017,0.207,0.522
MAG-GUT1135,0.000,0.001,0.001,0.101,0.018,0.213,0.518
MAG-GUT11376,0.000,0.000,0.002,0.076,0.010,0.176,0.447
MAG-GUT11399,0.000,0.000,0.000,0.007,0.000,0.036,0.316
MAG-GUT1139,0.000,0.001,0.001,0.103,0.018,0.214,0.518
MAG-GUT11406,0.000,0.000,0.000,0.208,0.033,0.405,0.648
MAG-GUT11412,0.000,0.000,0.000,0.031,0.000,0.119,0.473
MAG-GUT11417,0.000,0.002,0.016,0.166,0.036,0.241,0.400
MAG-GUT11423,0.000,0.000,0.000,0.032,0.000,0.114,0.476
MAG-GUT11426,0.000,0.000,0.000,0.014,0.002,0.032,0.270
MAG-GUT11435,0.000,0.000,0.000,0.073,0.003,0.196,0.676
MAG-GUT1143,0.000,0.000,0.001,0.105,0.016,0.211,0.529
MAG-GUT11449,0.000,0.000,0.000,0.035,0.011,0.140,0.419
MAG-GUT11468,0.000,0.000,0.000,0.156,0.022,0.230,0.421
MAG-GUT1148,0.000,0.001,0.001,0.103,0.018,0.205,0.518
MAG-GUT1149,0.000,0.000,0.001,0.107,0.019,0.208,0.526
MAG-GUT11521,0.000,0.000,0.000,0.157,0.037,0.350,0.650
MAG-GUT11526,0.000,0.000,0.000,0.012,0.000,0.042,0.217
MAG-GUT11531,0.000,0.000,0.000,0.008,0.001,0.037,0.297
MAG-GUT11535,0.000,0.001,0.008,0.255,0.088,0.492,0.723
MAG-GUT11540,0.000,0.000,0.000,0.018,0.000,0.071,0.382
MAG-GUT11566,0.000,0.000,0.000,0.066,0.006,0.140,0.374
MAG-GUT1157,0.000,0.001,0.001,0.110,0.017,0.220,0.532
MAG-GUT11596,0.000,0.000,0.000,0.254,0.036,0.458,0.673
MAG-GUT1160,0.000,0.000,0.000,0.017,0.003,0.091,0.390
MAG-GUT11638,0.000,0.000,0.000,0.167,0.043,0.363,0.674
MAG-GUT11640,0.000,0.000,0.000,0.150,0.025,0.214,0.399
MAG-GUT11644,0.000,0.000,0.000,0.208,0.030,0.404,0.668
MAG-GUT11693,0.000,0.000,0.000,0.019,0.000,0.070,0.403
MAG-GUT1169,0.000,0.000,0.000,0.018,0.003,0.122,0.458
MAG-GUT1171,0.000,0.000,0.000,0.020,0.004,0.122,0.469
MAG-GUT11729,0.000,0.000,0.000,0.139,0.019,0.201,0.392
MAG-GUT1173,0.000,0.000,0.000,0.017,0.004,0.111,0.452
MAG-GUT11741,0.000,0.000,0.000,0.012,0.001,0.039,0.201
MAG-GUT11752,0.000,0.000,0.000,0.077,0.008,0.166,0.425
MAG-GUT11760,0.000,0.003,0.004,0.327,0.147,0.560,0.785
MAG-GUT1177,0.000,0.000,0.000,0.021,0.005,0.123,0.471
MAG-GUT11820,0.000,0.000,0.001,0.037,0.000,0.124,0.451
MAG-GUT11829,0.000,0.000,0.000,0.139,0.035,0.326,0.621
MAG-GUT11837,0.000,0.000,0.000,0.023,0.000,0.069,0.379
MAG-GUT11847,0.000,0.000,0.001,0.167,0.042,0.357,0.661
MAG-GUT1184,0.000,0.000,0.000,0.010,0.001,0.111,0.514
MAG-GUT11911,0.000,0.000,0.000,0.000,0.000,0.008,0.241
MAG-GUT11931,0.000,0.001,0.007,0.261,0.093,0.513,0.743
MAG-GUT11934,0.000,0.000,0.000,0.056,0.005,0.188,0.491
MAG-GUT11964,0.000,0.000,0.000,0.068,0.007,0.151,0.402
MAG-GUT1196,0.000,0.000,0.000,0.016,0.004,0.116,0.458
MAG-GUT11972,0.000,0.000,0.001,0.040,0.001,0.128,0.463
MAG-GUT11977,0.000,0.000,0.000,0.167,0.044,0.361,0.661
MAG-GUT1197,0.000,0.000,0.000,0.021,0.004,0.121,0.469
MAG-GUT1198,0.000,0.000,0.000,0.003,0.000,0.033,0.257
MAG-GUT12028,0.000,0.000,0.000,0.035,0.000,0.125,0.494
MAG-GUT12030,0.000,0.000,0.000,0.178,0.016,0.360,0.703
MAG-GUT12049,0.000,0.000,0.001,0.148,0.037,0.332,0.621
MAG-GUT12051,0.000,0.000,0.000,0.014,0.003,0.031,0.262
MAG-GUT12063,0.000,0.000,0.000,0.163,0.039,0.350,0.661
MAG-GUT1206,0.000,0.000,0.000,0.003,0.000,0.034,0.258
MAG-GUT12082,0.000,0.000,0.000,0.155,0.039,0.347,0.640
MAG-GUT12095,0.000,0.000,0.000,0.159,0.039,0.341,0.624
MAG-GUT12106,0.000,0.000,0.000,0.055,0.007,0.168,0.397
MAG-GUT1212,0.000,0.000,0.000,0.003,0.000,0.031,0.258
MAG-GUT1214,0.000,0.000,0.000,0.007,0.000,0.085,0.424
MAG-GUT12173,0.000,0.000,0.000,0.262,0.041,0.491,0.705
MAG-GUT1217,0.000,0.000,0.000,0.002,0.000,0.033,0.264
MAG-GUT12186,0.000,0.000,0.000,0.069,0.006,0.139,0.378
MAG-GUT12195,0.000,0.000,0.000,0.201,0.030,0.397,0.643
MAG-GUT12217,0.000,0.000,0.000,0.034,0.000,0.129,0.495
MAG-GUT12225,0.000,0.000,0.000,0.234,0.036,0.438,0.630
MAG-GUT12230,0.000,0.000,0.000,0.170,0.042,0.365,0.665
MAG-GUT12256,0.000,0.000,0.000,0.155,0.026,0.229,0.415
MAG-GUT12257,0.000,0.000,0.001,0.154,0.038,0.338,0.636
MAG-GUT12259,0.000,0.000,0.000,0.006,0.002,0.031,0.255
MAG-GUT12264,0.000,0.002,0.013,0.327,0.103,0.535,0.761
MAG-GUT12267,0.000,0.000,0.000,0.266,0.044,0.467,0.668
MAG-GUT12269,0.000,0.000,0.000,0.017,0.000,0.069,0.390
MAG-GUT1227,0.000,0.000,0.000,0.004,0.000,0.035,0.259
MAG-GUT1228,0.000,0.000,0.000,0.021,0.005,0.124,0.483
MAG-GUT12300,0.000,0.000,0.007,0.001,0.000,0.008,0.195
MAG-GUT12321,0.000,0.000,0.000,0.004,0.001,0.035,0.200
MAG-GUT1232,0.000,0.000,0.000,0.003,0.000,0.031,0.255
MAG-GUT12340,0.000,0.000,0.000,0.007,0.001,0.037,0.300
MAG-GUT12348,0.000,0.001,0.008,0.262,0.091,0.503,0.742
MAG-GUT12361,0.000,0.000,0.000,0.018,0.000,0.094,0.390
MAG-GUT1236,0.000,0.000,0.000,0.024,0.005,0.123,0.466
MAG-GUT12377,0.000,0.000,0.000,0.261,0.038,0.482,0.697
MAG-GUT12391,0.000,0.000,0.000,0.005,0.000,0.040,0.326
MAG-GUT12393,0.000,0.000,0.000,0.056,0.002,0.178,0.634
MAG-GUT1240,0.000,0.000,0.000,0.002,0.000,0.027,0.180
MAG-GUT1242,0.000,0.000,0.000,0.019,0.005,0.120,0.458
MAG-GUT1244,0.000,0.000,0.000,0.016,0.004,0.118,0.463
MAG-GUT12458,0.000,0.000,0.000,0.010,0.002,0.064,0.301
MAG-GUT1246,0.000,0.000,0.000,0.054,0.002,0.154,0.578
MAG-GUT12481,0.000,0.000,0.000,0.279,0.043,0.510,0.725
MAG-GUT12482,0.000,0.000,0.000,0.016,0.000,0.091,0.395
MAG-GUT1248,0.000,0.000,0.000,0.008,0.000,0.086,0.419
MAG-GUT1249,0.000,0.001,0.002,0.052,0.006,0.111,0.297
MAG-GUT12518,0.000,0.000,0.000,0.001,0.000,0.013,0.279
MAG-GUT1252,0.000,0.000,0.000,0.058,0.003,0.152,0.576
MAG-GUT12533,0.000,0.000,0.000,0.009,0.000,0.038,0.184
MAG-GUT1255,0.000,0.000,0.000,0.018,0.004,0.118,0.458
MAG-GUT12567,0.000,0.000,0.001,0.176,0.026,0.237,0.514
MAG-GUT1258,0.000,0.001,0.001,0.048,0.005,0.101,0.295
MAG-GUT12636,0.000,0.000,0.000,0.000,0.000,0.014,0.270
MAG-GUT1263,0.000,0.000,0.000,0.059,0.003,0.158,0.583
MAG-GUT12643,0.000,0.003,0.017,0.172,0.041,0.264,0.435
MAG-GUT12644,0.000,0.000,0.000,0.002,0.000,0.026,0.358
MAG-GUT12655,0.000,0.000,0.000,0.050,0.005,0.108,0.287
MAG-GUT1265,0.000,0.001,0.001,0.053,0.006,0.105,0.298
MAG-GUT1266,0.000,0.000,0.000,0.017,0.003,0.116,0.461
MAG-GUT12678,0.000,0.000,0.000,0.017,0.000,0.070,0.403
MAG-GUT12691,0.000,0.000,0.000,0.012,0.000,0.042,0.209
MAG-GUT1270,0.000,0.000,0.000,0.002,0.000,0.026,0.397
MAG-GUT12744,0.000,0.000,0.000,0.004,0.001,0.046,0.353
MAG-GUT1274,0.000,0.000,0.001,0.049,0.005,0.101,0.295
MAG-GUT12750,0.000,0.000,0.000,0.001,0.000,0.019,0.343
MAG-GUT12759,0.000,0.002,0.009,0.110,0.012,0.161,0.308
MAG-GUT1276,0.000,0.000,0.000,0.003,0.000,0.025,0.386
MAG-GUT12771,0.000,0.000,0.000,0.006,0.000,0.033,0.311
MAG-GUT12789,0.000,0.001,0.009,0.228,0.067,0.466,0.709
MAG-GUT12794,0.000,0.000,0.000,0.018,0.000,0.094,0.380
MAG-GUT12797,0.000,0.000,0.000,0.094,0.018,0.157,0.464
MAG-GUT1282,0.000,0.000,0.001,0.049,0.005,0.101,0.300
MAG-GUT1287,0.000,0.001,0.001,0.052,0.005,0.104,0.298
MAG-GUT1288,0.000,0.000,0.000,0.002,0.000,0.025,0.401
MAG-GUT12944,0.000,0.000,0.000,0.023,0.001,0.127,0.506
MAG-GUT12945,0.000,0.000,0.000,0.005,0.000,0.030,0.202
MAG-GUT12963,0.000,0.000,0.000,0.034,0.008,0.118,0.370
MAG-GUT1297,0.000,0.000,0.000,0.003,0.000,0.025,0.397
MAG-GUT12991,0.000,0.000,0.000,0.154,0.073,0.335,0.619
MAG-GUT12,0.000,0.000,0.000,0.010,0.005,0.078,0.214
MAG-GUT13038,0.000,0.003,0.010,0.154,0.024,0.219,0.399
MAG-GUT13040,0.000,0.000,0.000,0.005,0.000,0.028,0.246
MAG-GUT13045,0.000,0.000,0.000,0.069,0.003,0.176,0.600
MAG-GUT13049,0.000,0.001,0.001,0.076,0.030,0.173,0.407
MAG-GUT13125,0.000,0.000,0.000,0.006,0.001,0.033,0.261
MAG-GUT13136,0.000,0.000,0.000,0.033,0.009,0.122,0.396
MAG-GUT13150,0.000,0.000,0.000,0.014,0.002,0.030,0.280
MAG-GUT1315,0.000,0.000,0.000,0.002,0.001,0.035,0.288
MAG-GUT13170,0.000,0.000,0.000,0.149,0.066,0.303,0.572
MAG-GUT13177,0.000,0.000,0.000,0.006,0.000,0.033,0.189
MAG-GUT1318,0.000,0.000,0.000,0.017,0.004,0.118,0.468
MAG-GUT1319,0.000,0.000,0.000,0.023,0.005,0.123,0.465
MAG-GUT13227,0.000,0.002,0.008,0.159,0.026,0.374,0.707
MAG-GUT13230,0.000,0.001,0.029,0.142,0.071,0.254,0.460
MAG-GUT13251,0.000,0.000,0.000,0.009,0.000,0.048,0.365
MAG-GUT13273,0.000,0.000,0.000,0.003,0.000,0.028,0.223
MAG-GUT13285,0.000,0.002,0.000,0.003,0.002,0.013,0.208
MAG-GUT1328,0.000,0.000,0.000,0.020,0.004,0.126,0.463
MAG-GUT13293,0.000,0.000,0.003,0.153,0.035,0.301,0.580
MAG-GUT13322,0.000,0.000,0.001,0.111,0.011,0.229,0.550
MAG-GUT13333,0.000,0.000,0.000,0.013,0.001,0.044,0.211
MAG-GUT13342,0.000,0.002,0.006,0.102,0.014,0.249,0.511
MAG-GUT13363,0.000,0.000,0.000,0.000,0.000,0.017,0.347
MAG-GUT1336,0.000,0.000,0.000,0.005,0.002,0.042,0.305
MAG-GUT13422,0.000,0.000,0.000,0.000,0.000,0.012,0.284
MAG-GUT13424,0.000,0.001,0.000,0.003,0.001,0.012,0.215
MAG-GUT13441,0.000,0.000,0.000,0.005,0.000,0.035,0.286
MAG-GUT13451,0.000,0.000,0.000,0.013,0.001,0.029,0.276
MAG-GUT13478,0.000,0.000,0.000,0.000,0.000,0.013,0.269
MAG-GUT13480,0.000,0.000,0.000,0.026,0.001,0.129,0.508
MAG-GUT13549,0.000,0.002,0.008,0.221,0.069,0.455,0.691
MAG-GUT1355,0.000,0.000,0.000,0.029,0.005,0.082,0.291
MAG-GUT1362,0.000,0.000,0.000,0.020,0.004,0.123,0.456
MAG-GUT13633,0.000,0.000,0.000,0.006,0.000,0.033,0.281
MAG-GUT13637,0.000,0.000,0.001,0.175,0.078,0.361,0.672
MAG-GUT13646,0.000,0.000,0.000,0.009,0.000,0.036,0.182
MAG-GUT1368,0.000,0.000,0.000,0.022,0.003,0.119,0.454
MAG-GUT13704,0.000,0.000,0.000,0.000,0.000,0.022,0.346
MAG-GUT1370,0.000,0.000,0.000,0.002,0.001,0.040,0.282
MAG-GUT13734,0.000,0.000,0.000,0.005,0.000,0.035,0.202
MAG-GUT13749,0.000,0.001,0.006,0.106,0.013,0.257,0.557
MAG-GUT1377,0.000,0.000,0.000,0.011,0.002,0.042,0.261
MAG-GUT13790,0.000,0.001,0.000,0.016,0.000,0.074,0.419
MAG-GUT13816,0.000,0.000,0.000,0.016,0.001,0.094,0.393
MAG-GUT13830,0.000,0.000,0.000,0.021,0.000,0.068,0.272
MAG-GUT1384,0.000,0.000,0.000,0.013,0.004,0.042,0.262
MAG-GUT13851,0.000,0.000,0.000,0.070,0.006,0.143,0.367
MAG-GUT13856,0.000,0.000,0.001,0.170,0.044,0.369,0.688
MAG-GUT13881,0.000,0.000,0.000,0.161,0.069,0.339,0.627
MAG-GUT13897,0.000,0.000,0.000,0.040,0.010,0.140,0.418
MAG-GUT1389,0.000,0.000,0.000,0.000,0.000,0.022,0.261
MAG-GUT1391,0.000,0.000,0.000,0.003,0.002,0.042,0.291
MAG-GUT1393,0.000,0.000,0.000,0.002,0.000,0.038,0.295
MAG-GUT13955,0.000,0.000,0.000,0.035,0.000,0.122,0.511
MAG-GUT1396,0.000,0.000,0.000,0.018,0.003,0.117,0.444
MAG-GUT13987,0.000,0.000,0.000,0.000,0.000,0.016,0.339
MAG-GUT13999,0.000,0.000,0.000,0.018,0.000,0.075,0.274
MAG-GUT14027,0.000,0.000,0.001,0.026,0.002,0.122,0.549
MAG-GUT14050,0.000,0.000,0.000,0.146,0.064,0.275,0.518
MAG-GUT14072,0.000,0.000,0.000,0.009,0.000,0.024,0.188
MAG-GUT14112,0.000,0.001,0.010,0.234,0.069,0.469,0.709
MAG-GUT14114,0.000,0.000,0.000,0.005,0.000,0.033,0.292
MAG-GUT14116,0.000,0.000,0.000,0.009,0.000,0.042,0.201
MAG-GUT14125,0.000,0.000,0.000,0.167,0.078,0.354,0.668
MAG-GUT14159,0.000,0.000,0.001,0.114,0.011,0.231,0.549
MAG-GUT14172,0.000,0.000,0.000,0.006,0.000,0.043,0.228
MAG-GUT14250,0.000,0.000,0.001,0.143,0.065,0.299,0.563
MAG-GUT14257,0.000,0.000,0.000,0.006,0.001,0.058,0.338
MAG-GUT14283,0.000,0.000,0.000,0.000,0.000,0.013,0.285
MAG-GUT14308,0.000,0.000,0.000,0.015,0.001,0.065,0.466
MAG-GUT14364,0.000,0.000,0.000,0.011,0.002,0.027,0.281
MAG-GUT14383,0.000,0.000,0.000,0.006,0.000,0.033,0.208
MAG-GUT14468,0.000,0.001,0.028,0.149,0.071,0.260,0.459
MAG-GUT14477,0.000,0.000,0.000,0.015,0.000,0.048,0.303
MAG-GUT14523,0.000,0.000,0.000,0.006,0.000,0.034,0.283
MAG-GUT14532,0.000,0.000,0.000,0.146,0.056,0.296,0.558
MAG-GUT1453,0.000,0.001,0.001,0.103,0.022,0.214,0.529
MAG-GUT1455,0.000,0.000,0.000,0.009,0.000,0.103,0.508
MAG-GUT14572,0.000,0.000,0.000,0.015,0.000,0.092,0.388
MAG-GUT1457,0.000,0.000,0.000,0.003,0.001,0.036,0.279
MAG-GUT14640,0.000,0.000,0.000,0.066,0.007,0.136,0.369
MAG-GUT14645,0.000,0.000,0.000,0.168,0.040,0.367,0.682
MAG-GUT14683,0.000,0.000,0.001,0.007,0.000,0.041,0.301
MAG-GUT14705,0.000,0.000,0.000,0.011,0.001,0.028,0.259
MAG-GUT1470,0.000,0.000,0.000,0.011,0.000,0.094,0.623
MAG-GUT14711,0.000,0.000,0.000,0.013,0.001,0.032,0.281
MAG-GUT14733,0.000,0.000,0.000,0.019,0.000,0.059,0.381
MAG-GUT14741,0.000,0.000,0.000,0.060,0.002,0.165,0.577
MAG-GUT14745,0.000,0.000,0.001,0.072,0.021,0.167,0.403
MAG-GUT1477,0.000,0.000,0.000,0.019,0.004,0.122,0.467
MAG-GUT1479,0.000,0.000,0.000,0.002,0.001,0.037,0.299
MAG-GUT14827,0.000,0.000,0.000,0.036,0.000,0.124,0.496
MAG-GUT1485,0.000,0.000,0.000,0.118,0.043,0.176,0.454
MAG-GUT1488,0.000,0.000,0.000,0.007,0.000,0.086,0.429
MAG-GUT14915,0.000,0.001,0.010,0.235,0.073,0.467,0.706
MAG-GUT1498,0.000,0.000,0.000,0.019,0.003,0.107,0.424
MAG-GUT1500,0.000,0.000,0.000,0.008,0.000,0.087,0.429
MAG-GUT15026,0.000,0.000,0.000,0.001,0.000,0.014,0.304
MAG-GUT15028,0.000,0.000,0.000,0.124,0.021,0.195,0.446
MAG-GUT15034,0.000,0.000,0.000,0.003,0.000,0.027,0.249
MAG-GUT15061,0.000,0.002,0.006,0.101,0.013,0.263,0.557
MAG-GUT15068,0.000,0.000,0.000,0.006,0.000,0.043,0.347
MAG-GUT15089,0.000,0.003,0.008,0.169,0.026,0.405,0.741
MAG-GUT1509,0.000,0.000,0.000,0.007,0.000,0.090,0.442
MAG-GUT1511,0.000,0.000,0.000,0.017,0.003,0.105,0.420
MAG-GUT15133,0.000,0.000,0.000,0.003,0.003,0.011,0.206
MAG-GUT15156,0.000,0.000,0.000,0.007,0.001,0.028,0.250
MAG-GUT1516,0.000,0.000,0.000,0.007,0.000,0.106,0.516
MAG-GUT151,0.000,0.000,0.000,0.011,0.001,0.043,0.207
MAG-GUT15223,0.000,0.000,0.000,0.003,0.000,0.029,0.307
MAG-GUT15229,0.000,0.000,0.000,0.109,0.020,0.182,0.419
MAG-GUT1522,0.000,0.000,0.000,0.018,0.004,0.123,0.470
MAG-GUT15232,0.000,0.000,0.000,0.006,0.000,0.027,0.252
MAG-GUT15246,0.000,0.000,0.000,0.145,0.066,0.303,0.585
MAG-GUT1527,0.000,0.000,0.000,0.007,0.000,0.091,0.460
MAG-GUT15285,0.000,0.000,0.000,0.113,0.020,0.182,0.418
MAG-GUT1529,0.000,0.001,0.001,0.107,0.017,0.216,0.522
MAG-GUT1534,0.000,0.001,0.001,0.101,0.017,0.208,0.524
MAG-GUT1537,0.000,0.000,0.001,0.105,0.018,0.215,0.529
MAG-GUT1541,0.000,0.000,0.000,0.002,0.001,0.037,0.276
MAG-GUT15427,0.000,0.002,0.007,0.171,0.030,0.399,0.726
MAG-GUT15486,0.000,0.000,0.000,0.073,0.007,0.159,0.407
MAG-GUT15497,0.000,0.000,0.000,0.007,0.003,0.052,0.156
MAG-GUT15498,0.000,0.001,0.000,0.004,0.003,0.014,0.206
MAG-GUT15544,0.000,0.000,0.000,0.005,0.000,0.034,0.287
MAG-GUT15546,0.000,0.000,0.006,0.557,0.468,0.719,0.861
MAG-GUT1556,0.000,0.000,0.000,0.002,0.000,0.029,0.233
MAG-GUT1559,0.000,0.000,0.000,0.002,0.000,0.029,0.239
MAG-GUT15605,0.000,0.000,0.000,0.035,0.011,0.133,0.407
