"Supplementary Table S11. Read-level specificity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT1368,0.421,0.961,0.991,0.995,0.986
MAG-GUT13704,0.420,0.882,0.935,0.948,0.942
MAG-GUT1370,0.417,0.697,0.735,0.733,0.647
MAG-GUT13734,0.307,0.757,0.826,0.855,0.863
MAG-GUT13749,0.758,0.946,0.965,0.973,0.957
MAG-GUT1377,0.369,0.892,0.960,0.962,0.927
MAG-GUT13790,0.406,0.899,0.946,0.960,0.962
MAG-GUT13816,0.333,0.937,0.985,0.991,0.987
MAG-GUT13830,0.123,0.662,0.815,0.861,0.916
MAG-GUT1384,0.401,0.894,0.952,0.954,0.917
MAG-GUT13851,0.340,0.824,0.889,0.903,0.888
MAG-GUT13856,0.597,0.981,0.994,0.995,0.993
MAG-GUT13881,0.503,0.754,0.843,0.862,0.687
MAG-GUT13897,0.540,0.971,0.991,0.993,0.990
MAG-GUT1389,0.274,0.775,0.869,0.894,0.891
MAG-GUT1391,0.428,0.717,0.738,0.727,0.651
MAG-GUT1393,0.418,0.711,0.729,0.736,0.652
MAG-GUT13955,0.251,0.747,0.855,0.898,0.941
MAG-GUT1396,0.382,0.948,0.979,0.983,0.977
MAG-GUT13987,0.460,0.901,0.940,0.948,0.936
MAG-GUT13999,0.133,0.684,0.827,0.846,0.921
MAG-GUT14027,0.551,0.950,0.979,0.981,0.981
MAG-GUT14050,0.471,0.723,0.823,0.828,0.646
MAG-GUT14072,0.383,0.868,0.915,0.918,0.857
MAG-GUT14112,0.712,0.980,0.995,0.997,0.991
MAG-GUT14114,0.396,0.817,0.871,0.883,0.908
MAG-GUT14116,0.390,0.713,0.753,0.760,0.720
MAG-GUT14125,0.478,0.761,0.856,0.878,0.707
MAG-GUT14159,0.549,0.967,0.990,0.993,0.989
MAG-GUT14172,0.201,0.911,0.978,0.987,0.978
MAG-GUT14250,0.441,0.744,0.841,0.853,0.666
MAG-GUT14257,0.327,0.920,0.955,0.961,0.962
MAG-GUT14283,0.402,0.862,0.922,0.937,0.922
MAG-GUT14308,0.508,0.877,0.941,0.955,0.954
MAG-GUT14364,0.380,0.934,0.970,0.983,0.984
MAG-GUT14383,0.286,0.767,0.859,0.878,0.877
MAG-GUT14468,0.582,0.962,0.988,0.990,0.987
MAG-GUT14477,0.316,0.799,0.881,0.896,0.848
MAG-GUT14523,0.382,0.794,0.860,0.855,0.888
MAG-GUT14532,0.457,0.746,0.843,0.861,0.668
MAG-GUT1453,0.506,0.928,0.973,0.981,0.948
MAG-GUT1455,0.436,0.962,0.989,0.993,0.991
MAG-GUT14572,0.306,0.943,0.984,0.988,0.990
MAG-GUT1457,0.430,0.723,0.749,0.729,0.658
MAG-GUT14640,0.320,0.818,0.893,0.908,0.891
MAG-GUT14645,0.618,0.980,0.995,0.996,0.994
MAG-GUT14683,0.402,0.811,0.848,0.879,0.886
MAG-GUT14705,0.318,0.931,0.963,0.967,0.972
MAG-GUT1470,0.433,0.875,0.939,0.956,0.931
MAG-GUT14711,0.351,0.933,0.968,0.981,0.983
MAG-GUT14733,0.614,0.966,0.987,0.987,0.981
MAG-GUT14741,0.492,0.863,0.886,0.890,0.880
MAG-GUT14745,0.717,0.892,0.922,0.926,0.864
MAG-GUT1477,0.454,0.962,0.988,0.993,0.984
MAG-GUT1479,0.415,0.741,0.746,0.740,0.661
MAG-GUT14827,0.246,0.720,0.851,0.887,0.937
MAG-GUT1485,0.481,0.933,0.972,0.980,0.967
MAG-GUT1488,0.359,0.946,0.992,0.994,0.992
MAG-GUT14915,0.703,0.975,0.993,0.996,0.988
MAG-GUT1498,0.410,0.963,0.992,0.995,0.987
MAG-GUT1500,0.346,0.952,0.990,0.993,0.992
MAG-GUT15026,0.454,0.866,0.932,0.945,0.931
MAG-GUT15028,0.473,0.899,0.954,0.960,0.939
MAG-GUT15034,0.338,0.800,0.867,0.867,0.899
MAG-GUT15061,0.752,0.948,0.968,0.976,0.962
MAG-GUT15068,0.476,0.953,0.961,0.962,0.939
MAG-GUT15089,0.805,0.971,0.987,0.987,0.981
MAG-GUT1509,0.386,0.947,0.991,0.996,0.989
MAG-GUT1511,0.389,0.953,0.990,0.994,0.987
MAG-GUT15133,0.336,0.672,0.704,0.722,0.707
MAG-GUT15156,0.312,0.817,0.865,0.886,0.901
MAG-GUT1516,0.426,0.963,0.989,0.993,0.990
MAG-GUT151,0.387,0.730,0.746,0.741,0.711
MAG-GUT15223,0.393,0.971,0.989,0.994,0.986
MAG-GUT15229,0.486,0.876,0.932,0.940,0.929
MAG-GUT1522,0.444,0.960,0.994,0.996,0.989
MAG-GUT15232,0.360,0.811,0.867,0.872,0.894
MAG-GUT15246,0.456,0.733,0.840,0.855,0.668
MAG-GUT1527,0.390,0.951,0.987,0.993,0.989
MAG-GUT15285,0.459,0.883,0.943,0.954,0.931
MAG-GUT1529,0.501,0.934,0.977,0.980,0.952
MAG-GUT1534,0.510,0.934,0.976,0.979,0.954
MAG-GUT1537,0.510,0.938,0.974,0.979,0.953
MAG-GUT1541,0.417,0.730,0.737,0.729,0.652
MAG-GUT15427,0.805,0.972,0.985,0.990,0.985
MAG-GUT15486,0.346,0.819,0.883,0.903,0.888
MAG-GUT15497,0.201,0.601,0.692,0.731,0.680
MAG-GUT15498,0.346,0.655,0.715,0.737,0.713
MAG-GUT15544,0.359,0.820,0.867,0.879,0.905
MAG-GUT15546,0.829,0.992,0.999,0.999,0.999
MAG-GUT1556,0.252,0.635,0.767,0.814,0.762
MAG-GUT1559,0.241,0.667,0.770,0.816,0.765
MAG-GUT15605,0.404,0.857,0.900,0.908,0.895
MAG-GUT15625,0.480,0.749,0.835,0.844,0.665
MAG-GUT1565,0.411,0.963,0.991,0.995,0.983
MAG-GUT15742,0.522,0.861,0.895,0.891,0.885
MAG-GUT1578,0.375,0.957,0.991,0.992,0.989
MAG-GUT15797,0.116,0.701,0.822,0.852,0.922
MAG-GUT1584,0.569,0.829,0.849,0.828,0.711
MAG-GUT15850,0.304,0.835,0.913,0.934,0.934
MAG-GUT15872,0.530,0.922,0.969,0.973,0.961
MAG-GUT15880,0.202,0.947,0.979,0.989,0.979
MAG-GUT15909,0.257,0.615,0.695,0.731,0.756
MAG-GUT15914,0.728,0.962,0.977,0.983,0.972
MAG-GUT15916,0.442,0.940,0.964,0.963,0.940
MAG-GUT15989,0.347,0.880,0.942,0.953,0.953
MAG-GUT16017,0.449,0.912,0.936,0.943,0.924
MAG-GUT160,0.245,0.819,0.921,0.936,0.916
MAG-GUT16113,0.681,0.953,0.981,0.984,0.972
MAG-GUT16117,0.458,0.893,0.928,0.935,0.918
MAG-GUT16129,0.785,0.946,0.969,0.974,0.960
MAG-GUT16149,0.338,0.945,0.980,0.986,0.981
MAG-GUT16156,0.461,0.817,0.821,0.831,0.905
MAG-GUT16183,0.702,0.959,0.977,0.982,0.974
MAG-GUT16297,0.247,0.743,0.843,0.872,0.883
MAG-GUT1636,0.566,0.973,0.990,0.991,0.989
MAG-GUT16398,0.305,0.758,0.843,0.861,0.840
MAG-GUT16481,0.490,0.956,0.968,0.973,0.956
MAG-GUT16496,0.771,0.984,0.994,0.995,0.989
MAG-GUT1652,0.336,0.811,0.891,0.934,0.987
MAG-GUT16567,0.657,0.965,0.984,0.988,0.975
MAG-GUT16625,0.743,0.973,0.992,0.995,0.981
MAG-GUT16712,0.751,0.953,0.966,0.977,0.957
MAG-GUT16715,0.319,0.945,0.982,0.988,0.987
MAG-GUT16720,0.611,0.955,0.975,0.978,0.968
MAG-GUT1677,0.474,0.894,0.915,0.921,0.925
MAG-GUT16845,0.679,0.962,0.980,0.984,0.977
MAG-GUT16851,0.435,0.749,0.765,0.754,0.732
MAG-GUT16881,0.365,0.833,0.863,0.882,0.895
MAG-GUT1694,0.322,0.931,0.973,0.975,0.984
MAG-GUT16984,0.276,0.931,0.981,0.989,0.981
MAG-GUT17013,0.581,0.888,0.913,0.913,0.876
MAG-GUT17016,0.673,0.962,0.976,0.978,0.955
MAG-GUT17028,0.540,0.942,0.972,0.976,0.978
MAG-GUT17049,0.499,0.948,0.965,0.967,0.950
MAG-GUT1707,0.251,0.827,0.877,0.878,0.831
MAG-GUT17170,0.112,0.707,0.823,0.860,0.923
MAG-GUT17212,0.223,0.804,0.914,0.941,0.951
MAG-GUT17247,0.678,0.945,0.959,0.958,0.919
MAG-GUT17254,0.800,0.974,0.987,0.988,0.983
MAG-GUT17255,0.551,0.884,0.919,0.925,0.916
MAG-GUT17271,0.434,0.749,0.826,0.838,0.644
MAG-GUT17288,0.427,0.726,0.738,0.743,0.667
MAG-GUT1728,0.468,0.957,0.970,0.968,0.955
MAG-GUT17299,0.478,0.950,0.966,0.964,0.948
MAG-GUT17314,0.466,0.966,0.993,0.997,0.990
MAG-GUT17379,0.455,0.948,0.964,0.961,0.943
MAG-GUT17399,0.214,0.726,0.839,0.878,0.825
MAG-GUT17401,0.816,0.981,0.985,0.989,0.987
MAG-GUT1743,0.479,0.895,0.945,0.955,0.902
MAG-GUT17473,0.539,0.883,0.913,0.921,0.916
MAG-GUT17488,0.735,0.980,0.989,0.989,0.981
MAG-GUT17515,0.482,0.883,0.912,0.927,0.916
MAG-GUT17598,0.593,0.937,0.968,0.972,0.967
MAG-GUT1761,0.331,0.917,0.964,0.974,0.978
MAG-GUT1763,0.521,0.831,0.829,0.835,0.908
MAG-GUT17664,0.172,0.710,0.837,0.876,0.927
MAG-GUT17671,0.119,0.709,0.839,0.870,0.928
MAG-GUT17697,0.311,0.778,0.854,0.869,0.865
MAG-GUT17705,0.398,0.750,0.785,0.762,0.724
MAG-GUT17713,0.475,0.949,0.960,0.957,0.941
MAG-GUT17733,0.619,0.957,0.970,0.975,0.968
MAG-GUT17776,0.497,0.973,0.998,0.998,0.996
MAG-GUT17782,0.432,0.735,0.741,0.733,0.658
MAG-GUT17793,0.304,0.833,0.899,0.904,0.892
MAG-GUT1788,0.459,0.894,0.944,0.949,0.944
MAG-GUT1792,0.671,0.946,0.966,0.966,0.947
MAG-GUT1796,0.372,0.810,0.876,0.883,0.901
MAG-GUT18024,0.257,0.724,0.854,0.896,0.930
MAG-GUT18031,0.417,0.719,0.725,0.708,0.636
MAG-GUT18037,0.501,0.935,0.979,0.985,0.958
MAG-GUT1806,0.370,0.819,0.878,0.895,0.903
MAG-GUT18125,0.361,0.787,0.861,0.889,0.873
MAG-GUT18181,0.332,0.798,0.862,0.882,0.903
MAG-GUT18195,0.436,0.753,0.837,0.844,0.669
MAG-GUT18210,0.429,0.771,0.855,0.875,0.695
MAG-GUT18233,0.830,0.971,0.983,0.984,0.980
MAG-GUT1826,0.371,0.871,0.928,0.941,0.912
MAG-GUT18296,0.573,0.978,0.991,0.991,0.985
MAG-GUT18312,0.440,0.745,0.845,0.858,0.666
MAG-GUT18333,0.520,0.958,0.979,0.983,0.982
MAG-GUT18340,0.464,0.947,0.963,0.959,0.944
MAG-GUT18361,0.421,0.732,0.835,0.844,0.651
MAG-GUT18366,0.302,0.787,0.863,0.881,0.844
MAG-GUT1840,0.166,0.706,0.849,0.871,0.928
MAG-GUT18425,0.533,0.929,0.968,0.975,0.957
MAG-GUT18429,0.651,0.944,0.958,0.956,0.915
MAG-GUT18447,0.672,0.953,0.980,0.981,0.971
