"Supplementary Table S9. Read-level specificity of different model architectures on variable-length reads simulated from 3,269 MAGs excluded from training",,,,,,,
MAG_ID_ENA,ResNet-like CNN,CNN + LSTM,Seq2species,Embed + Pool,Embed + CNN,Embed + LSTM,Embed + LSTM + Attention
MAG-GUT11185,0.000,0.000,0.000,0.227,0.083,0.508,0.906
MAG-GUT11187,0.000,0.000,0.000,1.000,0.922,0.985,0.870
MAG-GUT11210,0.000,0.000,0.000,0.921,0.935,0.873,0.944
MAG-GUT1122,0.000,1.000,0.750,0.991,0.991,0.995,0.988
MAG-GUT11274,0.000,0.000,1.000,0.847,0.333,0.971,0.984
MAG-GUT1128,0.000,1.000,1.000,0.994,0.978,0.994,0.986
MAG-GUT11304,0.000,1.000,0.994,0.995,0.986,0.990,0.985
MAG-GUT11308,0.000,0.000,0.000,0.946,0.875,0.945,0.979
MAG-GUT1131,0.000,1.000,1.000,0.993,0.973,0.995,0.988
MAG-GUT11332,0.000,0.000,0.500,0.944,0.833,0.879,0.944
MAG-GUT1133,0.000,1.000,1.000,0.995,0.994,0.994,0.989
MAG-GUT1135,0.000,1.000,0.875,0.993,0.994,0.995,0.988
MAG-GUT11376,0.000,1.000,0.958,0.967,0.941,0.969,0.959
MAG-GUT11399,0.000,0.000,0.500,0.240,0.103,0.466,0.902
MAG-GUT1139,0.000,1.000,1.000,0.990,0.983,0.993,0.988
MAG-GUT11406,0.000,0.000,0.000,0.999,0.991,0.998,0.997
MAG-GUT11412,0.000,0.000,0.000,0.667,0.000,0.818,0.876
MAG-GUT11417,0.000,1.000,0.987,0.996,1.000,0.995,0.986
MAG-GUT11423,0.000,0.000,0.000,0.683,0.000,0.833,0.895
MAG-GUT11426,0.000,0.000,0.000,0.933,0.741,0.945,0.983
MAG-GUT11435,0.000,0.000,1.000,0.931,0.750,0.877,0.943
MAG-GUT1143,0.000,1.000,0.889,0.991,0.970,0.992,0.988
MAG-GUT11449,0.000,0.000,0.500,0.807,0.931,0.918,0.932
MAG-GUT11468,0.000,0.000,1.000,0.974,0.965,0.971,0.976
MAG-GUT1148,0.000,1.000,1.000,0.990,0.973,0.993,0.986
MAG-GUT1149,0.000,1.000,1.000,0.993,0.979,0.991,0.988
MAG-GUT11521,0.000,0.000,1.000,0.996,1.000,0.997,0.997
MAG-GUT11526,0.000,0.000,0.000,0.890,0.500,0.817,0.798
MAG-GUT11531,0.000,0.000,0.375,0.272,0.368,0.528,0.908
MAG-GUT11535,0.000,1.000,0.988,0.997,0.997,0.997,0.995
MAG-GUT11540,0.000,0.000,0.000,0.878,0.000,0.918,0.964
MAG-GUT11566,0.000,0.000,0.000,0.982,0.913,0.943,0.930
MAG-GUT1157,0.000,1.000,0.875,0.999,0.977,0.995,0.989
MAG-GUT11596,0.000,0.000,0.000,0.992,0.986,0.993,0.988
MAG-GUT1160,0.000,0.000,0.000,0.994,1.000,0.998,0.992
MAG-GUT11638,0.000,1.000,1.000,0.998,0.998,0.998,0.995
MAG-GUT11640,0.000,0.000,0.600,0.999,0.981,0.992,0.984
MAG-GUT11644,0.000,0.000,0.000,0.999,1.000,1.000,0.998
MAG-GUT11693,0.000,1.000,0.000,0.894,0.333,0.924,0.968
MAG-GUT1169,0.000,0.000,0.000,1.000,0.967,0.998,0.998
MAG-GUT1171,0.000,0.000,0.000,1.000,1.000,0.999,0.999
MAG-GUT11729,0.000,1.000,0.750,0.999,1.000,0.993,0.992
MAG-GUT1173,0.000,0.000,0.000,1.000,1.000,1.000,0.997
MAG-GUT11741,0.000,0.000,0.000,0.795,0.467,0.784,0.788
MAG-GUT11752,0.000,0.000,0.000,0.966,0.912,0.946,0.936
MAG-GUT11760,0.000,1.000,1.000,0.998,0.999,0.998,0.998
MAG-GUT1177,0.000,0.000,0.000,1.000,1.000,0.999,0.998
MAG-GUT11820,0.000,0.000,1.000,0.959,0.333,0.973,0.982
MAG-GUT11829,0.000,0.000,1.000,1.000,0.994,0.999,0.996
MAG-GUT11837,0.000,0.000,0.000,0.954,0.750,0.949,0.955
MAG-GUT11847,0.000,1.000,1.000,0.998,0.998,0.999,0.998
MAG-GUT1184,0.000,0.000,0.000,0.935,0.600,0.986,0.996
MAG-GUT11911,0.000,0.000,0.000,0.800,0.000,0.827,0.945
MAG-GUT11931,0.000,1.000,0.986,0.998,0.998,0.998,0.996
MAG-GUT11934,0.000,0.000,0.000,0.988,0.979,0.987,0.957
MAG-GUT11964,0.000,0.000,0.000,0.960,0.886,0.941,0.926
MAG-GUT1196,0.000,0.000,0.000,0.994,1.000,0.997,0.998
MAG-GUT11972,0.000,0.000,1.000,0.967,0.800,0.979,0.983
MAG-GUT11977,0.000,0.000,1.000,0.998,0.995,0.999,0.998
MAG-GUT1197,0.000,0.000,0.000,1.000,1.000,1.000,0.999
MAG-GUT1198,0.000,0.000,0.000,0.209,0.025,0.603,0.813
MAG-GUT12028,0.000,0.000,0.000,0.741,0.000,0.843,0.902
MAG-GUT12030,0.000,0.000,0.250,1.000,1.000,1.000,0.999
MAG-GUT12049,0.000,1.000,1.000,0.998,1.000,0.998,0.996
MAG-GUT12051,0.000,0.000,0.000,0.926,0.781,0.913,0.975
MAG-GUT12063,0.000,0.000,1.000,0.997,0.995,0.999,0.997
MAG-GUT1206,0.000,0.000,0.000,0.210,0.079,0.634,0.834
MAG-GUT12082,0.000,0.000,1.000,0.999,1.000,0.999,0.998
MAG-GUT12095,0.000,1.000,1.000,0.998,0.997,0.997,0.994
MAG-GUT12106,0.000,0.000,0.000,0.996,0.986,0.992,0.983
MAG-GUT1212,0.000,0.000,0.000,0.255,0.000,0.624,0.826
MAG-GUT1214,0.000,0.000,0.000,0.973,0.500,0.996,0.998
MAG-GUT12173,0.000,0.000,0.000,0.998,0.990,0.997,0.995
MAG-GUT1217,0.000,0.000,0.000,0.162,0.023,0.597,0.819
MAG-GUT12186,0.000,0.000,0.000,0.973,0.887,0.945,0.931
MAG-GUT12195,0.000,0.000,0.000,0.998,1.000,0.998,0.996
MAG-GUT12217,0.000,0.000,0.000,0.724,0.000,0.840,0.906
MAG-GUT12225,0.000,0.000,0.000,0.976,0.989,0.973,0.958
MAG-GUT12230,0.000,0.000,1.000,0.999,1.000,0.999,0.998
MAG-GUT12256,0.000,1.000,0.500,0.999,0.977,0.995,0.991
MAG-GUT12257,0.000,1.000,1.000,0.996,1.000,0.998,0.995
MAG-GUT12259,0.000,0.000,0.333,0.233,0.419,0.502,0.894
MAG-GUT12264,0.000,1.000,0.950,0.982,0.975,0.981,0.974
MAG-GUT12267,0.000,0.000,0.000,0.995,0.991,0.992,0.984
MAG-GUT12269,0.000,0.500,0.000,0.903,0.167,0.928,0.964
MAG-GUT1227,0.000,0.000,0.000,0.289,0.000,0.654,0.826
MAG-GUT1228,0.000,0.000,0.000,1.000,1.000,0.999,0.999
MAG-GUT12300,0.000,0.000,1.000,0.423,0.000,0.800,0.971
MAG-GUT12321,0.000,0.000,0.000,0.683,0.750,0.891,0.889
MAG-GUT1232,0.000,0.000,0.000,0.288,0.019,0.592,0.827
MAG-GUT12340,0.000,0.000,0.500,0.232,0.170,0.515,0.902
MAG-GUT12348,0.000,0.818,0.988,0.999,0.999,0.998,0.997
MAG-GUT12361,0.000,0.000,0.000,0.994,1.000,0.995,0.993
MAG-GUT1236,0.000,0.000,0.000,0.992,1.000,0.999,0.998
MAG-GUT12377,0.000,0.000,0.000,0.998,0.995,0.998,0.993
MAG-GUT12391,0.000,0.000,0.333,0.188,0.030,0.505,0.896
MAG-GUT12393,0.000,0.000,0.000,0.981,1.000,0.971,0.969
MAG-GUT1240,0.000,0.000,0.000,0.950,0.000,0.996,0.996
MAG-GUT1242,0.000,0.000,0.000,0.995,1.000,1.000,0.998
MAG-GUT1244,0.000,0.000,0.000,1.000,1.000,0.998,0.993
MAG-GUT12458,0.000,0.000,0.000,1.000,1.000,1.000,0.998
MAG-GUT1246,0.000,0.000,0.000,0.897,0.444,0.882,0.900
MAG-GUT12481,0.000,0.000,0.000,0.998,0.995,0.997,0.994
MAG-GUT12482,0.000,0.000,0.000,0.963,1.000,0.989,0.990
MAG-GUT1248,0.000,0.000,0.000,1.000,1.000,0.998,0.998
MAG-GUT1249,0.000,1.000,1.000,0.985,0.984,0.980,0.966
MAG-GUT12518,0.000,0.000,0.000,0.304,0.000,0.811,0.945
MAG-GUT1252,0.000,0.000,0.000,0.883,0.571,0.863,0.895
MAG-GUT12533,0.000,0.000,0.000,0.628,0.250,0.759,0.748
MAG-GUT1255,0.000,0.000,0.000,0.989,0.974,0.994,0.992
MAG-GUT12567,0.000,0.000,1.000,0.993,0.974,0.980,0.978
MAG-GUT1258,0.000,1.000,0.800,0.986,0.964,0.982,0.970
MAG-GUT12636,0.000,0.000,0.000,0.105,0.000,0.657,0.937
MAG-GUT1263,0.000,0.000,0.000,0.918,0.600,0.867,0.902
MAG-GUT12643,0.000,1.000,0.994,0.997,0.995,0.996,0.986
MAG-GUT12644,0.000,0.000,0.000,0.180,0.000,0.505,0.895
MAG-GUT12655,0.000,0.000,0.500,0.971,0.941,0.938,0.919
MAG-GUT1265,0.000,1.000,1.000,0.987,0.953,0.980,0.965
MAG-GUT1266,0.000,0.000,1.000,0.988,1.000,0.999,0.995
MAG-GUT12678,0.000,1.000,0.000,0.906,0.375,0.923,0.973
MAG-GUT12691,0.000,0.000,0.000,0.894,0.500,0.831,0.793
MAG-GUT1270,0.000,0.000,0.000,0.960,0.000,0.985,0.994
MAG-GUT12744,0.000,0.000,1.000,0.833,0.500,0.929,0.965
MAG-GUT1274,0.000,1.000,0.737,0.980,1.000,0.990,0.970
MAG-GUT12750,0.000,0.000,0.000,0.323,0.000,0.835,0.964
MAG-GUT12759,0.000,1.000,1.000,0.997,1.000,0.992,0.983
MAG-GUT1276,0.000,0.000,0.000,1.000,0.000,0.984,0.991
MAG-GUT12771,0.000,0.000,1.000,0.209,0.000,0.462,0.903
MAG-GUT12789,0.000,1.000,0.957,0.998,0.999,0.999,0.998
MAG-GUT12794,0.000,0.000,0.000,0.989,1.000,0.996,0.995
MAG-GUT12797,0.000,1.000,0.667,0.992,0.984,0.987,0.983
MAG-GUT1282,0.000,1.000,0.917,0.990,0.941,0.987,0.966
MAG-GUT1287,0.000,0.909,0.933,0.983,0.962,0.985,0.970
MAG-GUT1288,0.000,0.000,0.000,0.952,0.000,0.984,0.992
MAG-GUT12944,0.000,0.000,0.000,0.996,1.000,0.997,0.996
MAG-GUT12945,0.000,0.000,0.000,0.644,0.000,0.784,0.867
MAG-GUT12963,0.000,1.000,1.000,0.997,1.000,0.996,0.993
MAG-GUT1297,0.000,0.000,0.000,1.000,0.000,0.992,0.991
MAG-GUT12991,0.000,0.000,0.500,0.983,0.997,0.975,0.887
MAG-GUT12,0.000,0.000,0.000,0.962,0.943,0.965,0.890
MAG-GUT13038,0.000,1.000,1.000,0.999,1.000,0.998,0.995
MAG-GUT13040,0.000,0.000,0.000,0.221,0.049,0.485,0.882
MAG-GUT13045,0.000,0.000,0.000,0.928,0.833,0.870,0.920
MAG-GUT13049,0.000,1.000,1.000,0.966,0.997,0.976,0.952
MAG-GUT13125,0.000,0.000,0.000,0.256,0.205,0.521,0.892
MAG-GUT13136,0.000,0.000,1.000,0.997,1.000,0.993,0.992
MAG-GUT13150,0.000,0.000,0.000,0.932,0.880,0.938,0.982
MAG-GUT1315,0.000,0.000,0.000,0.947,1.000,0.983,0.800
MAG-GUT13170,0.000,0.000,0.444,0.993,1.000,0.973,0.895
MAG-GUT13177,0.000,0.000,0.000,0.803,0.500,0.853,0.884
MAG-GUT1318,0.000,0.000,0.000,1.000,1.000,1.000,0.998
MAG-GUT1319,0.000,0.000,0.000,1.000,1.000,0.999,0.998
MAG-GUT13227,0.000,1.000,0.963,0.985,0.953,0.990,0.991
MAG-GUT13230,0.000,1.000,1.000,0.997,1.000,0.997,0.995
MAG-GUT13251,0.000,0.000,0.000,0.948,0.750,0.949,0.950
MAG-GUT13273,0.000,0.000,1.000,0.893,0.000,0.965,0.973
MAG-GUT13285,0.000,1.000,0.000,0.559,0.643,0.448,0.752
MAG-GUT1328,0.000,0.000,0.000,1.000,1.000,0.998,0.997
MAG-GUT13293,0.000,0.500,0.705,0.953,0.943,0.950,0.949
MAG-GUT13322,0.000,0.000,0.929,0.996,1.000,0.999,0.997
MAG-GUT13333,0.000,0.000,0.000,0.830,0.600,0.803,0.780
MAG-GUT13342,0.000,1.000,0.968,0.980,0.945,0.985,0.978
MAG-GUT13363,0.000,0.000,0.000,0.103,0.000,0.746,0.955
MAG-GUT1336,0.000,0.000,0.000,1.000,1.000,0.975,0.796
MAG-GUT13422,0.000,0.000,0.000,0.250,0.000,0.807,0.953
MAG-GUT13424,0.000,1.000,0.000,0.737,1.000,0.453,0.739
MAG-GUT13441,0.000,0.000,1.000,0.181,0.000,0.470,0.877
MAG-GUT13451,0.000,0.000,0.000,0.893,0.591,0.883,0.961
MAG-GUT13478,0.000,0.000,0.000,0.286,0.000,0.830,0.952
MAG-GUT13480,0.000,0.000,0.000,0.988,1.000,0.995,0.995
MAG-GUT13549,0.000,1.000,0.976,0.995,0.999,0.996,0.996
MAG-GUT1355,0.000,0.000,0.000,0.859,0.914,0.883,0.834
MAG-GUT1362,0.000,0.000,0.000,1.000,1.000,0.998,0.998
MAG-GUT13633,0.000,0.000,0.500,0.250,0.029,0.481,0.898
MAG-GUT13637,0.000,0.000,0.625,0.992,1.000,0.978,0.911
MAG-GUT13646,0.000,0.000,0.000,0.687,0.167,0.757,0.749
MAG-GUT1368,0.000,0.000,0.000,1.000,1.000,0.998,0.997
MAG-GUT13704,0.000,0.000,0.000,0.143,0.000,0.801,0.956
MAG-GUT1370,0.000,0.000,0.000,0.727,0.833,0.959,0.780
MAG-GUT13734,0.000,0.000,0.000,0.699,0.364,0.845,0.875
MAG-GUT13749,0.000,1.000,0.923,0.970,0.971,0.985,0.979
MAG-GUT1377,0.000,0.000,0.000,0.966,0.957,0.983,0.981
MAG-GUT13790,0.000,0.600,0.000,0.911,0.200,0.924,0.969
MAG-GUT13816,0.000,0.000,0.000,0.976,0.750,0.994,0.993
MAG-GUT13830,0.000,0.000,0.000,0.892,0.250,0.904,0.877
MAG-GUT1384,0.000,0.000,0.000,0.964,0.976,0.963,0.972
MAG-GUT13851,0.000,0.000,0.000,0.959,0.935,0.933,0.923
MAG-GUT13856,0.000,1.000,1.000,0.995,0.995,0.997,0.997
MAG-GUT13881,0.000,0.000,0.667,0.996,1.000,0.983,0.903
MAG-GUT13897,0.000,0.000,0.000,0.995,0.990,0.998,0.996
MAG-GUT1389,0.000,0.000,0.000,0.048,0.000,0.678,0.890
MAG-GUT1391,0.000,0.000,0.000,0.971,1.000,0.963,0.782
MAG-GUT1393,0.000,0.000,0.000,1.000,1.000,0.992,0.799
MAG-GUT13955,0.000,0.000,0.000,0.697,0.000,0.847,0.917
MAG-GUT1396,0.000,0.000,0.000,1.000,0.971,0.998,0.988
MAG-GUT13987,0.000,0.000,0.000,0.111,0.000,0.813,0.959
MAG-GUT13999,0.000,0.000,0.000,0.884,0.000,0.911,0.860
MAG-GUT14027,0.000,0.000,0.750,0.956,0.760,0.972,0.987
MAG-GUT14050,0.000,0.000,0.667,0.986,0.995,0.972,0.883
MAG-GUT14072,0.000,0.000,0.000,1.000,0.500,0.983,0.971
MAG-GUT14112,0.000,1.000,0.980,1.000,1.000,0.999,0.999
MAG-GUT14114,0.000,0.000,0.286,0.202,0.053,0.480,0.893
MAG-GUT14116,0.000,0.000,0.000,0.771,0.333,0.795,0.783
MAG-GUT14125,0.000,0.000,0.333,0.986,1.000,0.980,0.908
MAG-GUT14159,0.000,0.000,1.000,0.999,1.000,0.998,0.994
MAG-GUT14172,0.000,0.000,0.000,0.966,1.000,1.000,0.994
MAG-GUT14250,0.000,0.000,0.625,0.992,0.998,0.976,0.895
MAG-GUT14257,0.000,0.000,0.000,0.682,0.364,0.920,0.968
MAG-GUT14283,0.000,0.000,0.000,0.167,0.000,0.896,0.946
MAG-GUT14308,0.000,0.000,1.000,0.954,1.000,0.979,0.974
MAG-GUT14364,0.000,0.000,0.000,0.917,0.917,0.948,0.984
MAG-GUT14383,0.000,0.000,0.000,0.836,0.000,0.898,0.899
MAG-GUT14468,0.000,1.000,1.000,0.993,0.994,0.996,0.993
MAG-GUT14477,0.000,0.000,0.000,0.962,1.000,0.946,0.935
MAG-GUT14523,0.000,0.000,0.750,0.209,0.000,0.460,0.865
MAG-GUT14532,0.000,0.000,0.500,0.991,0.998,0.974,0.902
MAG-GUT1453,0.000,1.000,0.900,0.993,0.995,0.994,0.989
MAG-GUT1455,0.000,0.000,0.000,0.920,0.333,0.989,0.995
MAG-GUT14572,0.000,0.000,0.000,0.942,0.200,0.988,0.989
MAG-GUT1457,0.000,0.000,0.000,0.970,1.000,0.975,0.780
MAG-GUT14640,0.000,0.000,0.000,0.973,0.934,0.944,0.932
MAG-GUT14645,0.000,1.000,1.000,0.998,0.997,0.998,0.998
MAG-GUT14683,0.000,0.000,0.714,0.262,0.167,0.530,0.881
MAG-GUT14705,0.000,0.000,0.000,0.835,0.619,0.871,0.961
MAG-GUT1470,0.000,0.000,0.000,0.570,0.063,0.866,0.964
MAG-GUT14711,0.000,0.000,0.000,0.937,0.857,0.936,0.983
MAG-GUT14733,0.000,0.000,0.000,0.989,0.800,0.988,0.991
MAG-GUT14741,0.000,0.000,0.500,0.917,0.818,0.860,0.913
MAG-GUT14745,0.000,0.750,0.889,0.978,0.995,0.967,0.950
MAG-GUT1477,0.000,0.000,0.000,1.000,1.000,0.998,0.994
MAG-GUT1479,0.000,0.000,0.000,1.000,1.000,0.984,0.806
MAG-GUT14827,0.000,0.000,0.000,0.722,0.000,0.836,0.907
MAG-GUT1485,0.000,0.000,0.000,0.996,1.000,0.993,0.991
MAG-GUT1488,0.000,0.000,0.000,0.986,1.000,0.999,0.997
MAG-GUT14915,0.000,1.000,0.971,0.997,0.999,0.999,0.998
MAG-GUT1498,0.000,0.000,0.000,1.000,0.963,0.999,0.998
MAG-GUT1500,0.000,0.000,0.000,0.987,1.000,0.995,0.997
MAG-GUT15026,0.000,0.000,0.000,0.192,0.000,0.812,0.958
MAG-GUT15028,0.000,1.000,0.000,0.994,0.972,0.983,0.975
MAG-GUT15034,0.000,0.000,0.800,0.142,0.000,0.452,0.878
MAG-GUT15061,0.000,1.000,0.937,0.969,0.964,0.982,0.984
MAG-GUT15068,0.000,0.000,0.000,0.824,0.250,0.953,0.974
MAG-GUT15089,0.000,1.000,0.950,0.984,0.981,0.993,0.991
MAG-GUT1509,0.000,0.000,0.000,0.986,0.000,0.998,0.998
MAG-GUT1511,0.000,0.000,0.000,0.994,1.000,0.997,0.996
MAG-GUT15133,0.000,1.000,0.000,0.756,0.962,0.434,0.752
MAG-GUT15156,0.000,0.000,0.500,0.275,0.333,0.489,0.894
MAG-GUT1516,0.000,0.000,0.000,0.902,0.333,0.984,0.995
MAG-GUT151,0.000,0.000,0.000,0.820,0.667,0.807,0.778
MAG-GUT15223,0.000,0.000,0.000,0.818,0.250,0.973,0.994
MAG-GUT15229,0.000,0.000,0.000,0.986,0.990,0.973,0.964
MAG-GUT1522,0.000,0.000,0.000,0.995,1.000,1.000,0.998
MAG-GUT15232,0.000,0.000,0.000,0.235,0.143,0.444,0.868
MAG-GUT15246,0.000,0.000,0.500,0.993,0.998,0.975,0.898
MAG-GUT1527,0.000,0.000,0.000,1.000,1.000,0.995,0.998
MAG-GUT15285,0.000,0.000,0.000,0.988,0.986,0.980,0.974
MAG-GUT1529,0.000,1.000,0.818,0.994,0.994,0.995,0.988
MAG-GUT1534,0.000,1.000,0.818,0.990,0.994,0.995,0.989
MAG-GUT1537,0.000,1.000,0.909,0.991,0.974,0.995,0.989
MAG-GUT1541,0.000,0.000,0.000,1.000,1.000,0.989,0.788
MAG-GUT15427,0.000,1.000,0.971,0.984,0.971,0.988,0.992
MAG-GUT15486,0.000,0.000,0.000,0.963,0.897,0.940,0.919
MAG-GUT15497,0.000,0.000,0.000,0.932,1.000,0.983,0.877
MAG-GUT15498,0.000,1.000,0.000,0.813,1.000,0.502,0.766
MAG-GUT15544,0.000,0.000,0.333,0.185,0.027,0.493,0.897
MAG-GUT15546,0.000,1.000,0.933,1.000,1.000,1.000,1.000
MAG-GUT1556,0.000,0.000,0.000,0.197,0.000,0.577,0.820
MAG-GUT1559,0.000,0.000,0.000,0.227,0.000,0.586,0.820
MAG-GUT15605,0.000,1.000,1.000,0.801,0.938,0.916,0.932
