Supplementary Table S3. Number of reads sampled from each whole-genome-sequenced bacterial isolates collected from human fecal samples,,,,,,,,,,,,
Run,Organism,Genus, Read count (mock 01) , Read count (mock 02) , Read count (mock 03) , Read count (mock 04) , Read count (mock 05) , Read count (mock 06) , Read count (mock 07) , Read count (mock 08) , Read count (mock 09) , Read count (mock 10) 
ERR1022327,Faecalibacterium prausnitzii,Faecalibacterium," 6,504 ", 43 ," 6,706 "," 6,618 "," 11,220 "," 5,701 "," 25,928 "," 1,054 "," 7,510 "," 1,036 "
ERR1022328,uncultured Faecalibacterium sp.,Faecalibacterium," 4,063 "," 25,315 "," 11,148 "," 134,327 "," 35,156 "," 36,928 "," 61,782 "," 11,631 "," 3,413 ", 973 
ERR1022335,Bifidobacterium bifidum,Bifidobacterium," 37,460 "," 4,692 "," 5,985 ", 308 ," 1,206 "," 13,226 "," 538,970 "," 28,233 ", 229 ," 7,536 "
ERR1022337,uncultured Blautia sp.,Blautia," 1,941 "," 33,111 "," 83,025 "," 2,177,595 "," 29,529 "," 2,070 "," 10,851 "," 4,294 "," 20,348 ", 745 
ERR1022338,uncultured Blautia sp.,Blautia," 1,710 "," 10,368 "," 2,512 "," 55,611 "," 415,674 "," 31,967 "," 49,460 "," 36,584 "," 12,905 ", 725 
ERR1022347,Clostridium perfringens,Clostridium," 1,620 "," 285,958 "," 1,309 "," 5,659 ", 461 ," 1,662 "," 4,790 "," 9,593 "," 67,597 "," 5,931 "
ERR1022348,Alistipes finegoldii,Alistipes," 6,147 ", 396 ," 37,172 "," 11,593 "," 49,746 ", 623 ," 166,314 "," 1,195 "," 33,810 "," 20,907 "
ERR1022350,uncultured Ruminococcus sp.,Ruminococcus," 2,618 "," 104,950 "," 1,299 ", 789 ," 16,410 "," 83,937 "," 280,775 "," 1,302 "," 6,665 ", 725 
ERR1022352,Lachnospira pectinoschiza,Lachnospira," 12,844 "," 217,785 "," 4,775 "," 1,359 "," 9,077 "," 3,551 "," 1,373 ", 574 ," 3,768 "," 12,616 "
ERR1022356,Bifidobacterium pseudocatenulatum,Bifidobacterium," 7,345 "," 4,411 "," 3,387 "," 4,728 ", 969 ," 7,053 ", 374 ," 34,976 "," 11,717 "," 1,269 "
ERR1022364,Parabacteroides merdae,Parabacteroides," 6,437 ", 32 ," 21,452 ", 55 , 894 , 342 ," 10,452 "," 1,055 "," 22,631 "," 21,931 "
ERR1022366,Bifidobacterium adolescentis,Bifidobacterium," 4,360 "," 11,344 "," 81,081 "," 1,775 "," 1,420 ", 697 ," 1,929 "," 1,627 "," 29,459 "," 2,645 "
ERR1022370,uncultured Megasphaera sp.,Megasphaera," 1,372 "," 1,325 "," 192,337 "," 54,468 "," 11,456 ", 195 , 475 , 338 ," 2,519 ", 610 
ERR1022371,Clostridium disporicum,Clostridium," 4,078 "," 21,298 "," 12,222 "," 104,878 "," 1,633 ", 792 ," 310,098 "," 2,922 ", 487 ," 2,825 "
ERR1022372,Clostridium disporicum,Clostridium, 887 ," 7,795 ", 68 ," 7,303 "," 137,638 ", 452 ," 105,152 "," 1,059 "," 123,449 ", 127 
ERR1022373,Clostridium paraputrificum,Clostridium, 697 ," 19,146 "," 1,318 "," 4,413 "," 7,298 "," 30,035 ", 71 , 864 ," 116,960 ", 625 
ERR1022374,Clostridium ventriculi,Clostridium, 972 ," 8,266 "," 9,792 "," 137,418 "," 170,138 "," 1,839 "," 2,646 "," 16,227 "," 18,472 "," 234,794 "
ERR1022375,uncultured Clostridium sp.,Clostridium," 24,655 "," 37,582 "," 53,557 "," 87,660 "," 12,214 "," 116,121 "," 4,331 "," 1,894 "," 5,602 "," 3,728 "
ERR1022378,uncultured Blautia sp.,Blautia, 271 ," 2,474 "," 2,940 ", 288 ," 3,241 "," 1,903 "," 1,777 "," 16,027 "," 9,698 "," 9,677 "
ERR1022397,Prevotella copri,Prevotella," 1,114 ", 924 ," 1,799 "," 6,508 "," 9,414 "," 10,489 "," 10,617 "," 14,579 ", 76 , 631 
ERR1022401,Lachnospira pectinoschiza,Lachnospira," 16,728 "," 1,327 "," 2,487 "," 19,461 "," 3,249 "," 11,232 "," 2,654 "," 1,387 ", 488 ," 10,109 "
ERR1022408,uncultured Ruminococcus sp.,Ruminococcus," 4,374 ", 138 ," 9,342 "," 6,299 "," 75,010 "," 15,655 "," 10,967 ", 299 ," 5,057 "," 2,886 "
ERR1022414,uncultured Bacteroides sp.,Bacteroides," 139,610 ", 718 ," 7,283 "," 6,300 "," 1,218 ", 341 ," 6,684 "," 21,245 "," 8,601 "," 2,306 "
ERR1022416,Collinsella aerofaciens,Collinsella," 1,868 "," 1,428 "," 2,268 "," 3,682 "," 19,397 "," 9,510 "," 9,368 "," 1,858 "," 8,996 "," 1,598 "
ERR1022418,uncultured Clostridium sp.,Clostridium," 3,165 "," 2,668 ", 128 ," 3,394 "," 2,380 "," 409,315 "," 48,099 "," 1,874 "," 14,314 ", 689 
ERR1022421,Clostridium baratii,Clostridium, 240 ," 2,028 "," 6,262 "," 3,567 "," 5,029 "," 28,320 "," 8,015 "," 284,762 "," 9,793 "," 2,338 "
ERR1022428,Dorea longicatena,Dorea," 6,609 ", 87 ," 3,391 "," 2,569 "," 17,021 "," 2,497 "," 2,753 "," 73,333 ", 261 ," 11,454 "
ERR1022448,uncultured Ruminococcus sp.,Ruminococcus," 37,759 ", 811 ," 10,142 "," 3,931 "," 11,057 "," 2,520 "," 1,925 ", 684 ," 4,301 "," 4,209 "
ERR1022452,uncultured Ruminococcus sp.,Ruminococcus," 1,108 "," 196,626 ", 222 ," 35,963 "," 36,297 "," 266,015 "," 4,448 "," 88,376 ", 337 ," 19,760 "
ERR1022461,Alistipes finegoldii,Alistipes," 37,632 "," 15,168 "," 3,736 "," 713,387 "," 6,964 "," 18,601 "," 46,728 ", 657 , 475 ," 1,248 "
ERR1022465,uncultured Clostridium sp.,Clostridium," 3,190 "," 234,170 "," 180,203 "," 1,694 "," 23,956 ", 714 ," 5,849 "," 9,453 ", 497 ," 6,853 "
ERR1022466,uncultured Clostridium sp.,Clostridium, 80 ," 2,371 "," 6,751 "," 3,313 "," 6,152 "," 3,568 "," 1,181 "," 93,756 "," 1,189 "," 9,604 "
ERR1022468,uncultured Clostridium sp.,Clostridium," 36,887 "," 3,642 "," 2,997 "," 1,954 "," 142,921 "," 7,966 "," 30,251 "," 36,060 "," 1,326 "," 1,553 "
ERR1022469,Clostridium paraputrificum,Clostridium," 26,990 "," 3,022 "," 179,466 "," 244,441 "," 22,847 "," 24,071 "," 17,322 "," 18,082 "," 206,235 "," 9,816 "
ERR1022470,Clostridium baratii,Clostridium," 9,850 ", 397 ," 200,531 ", 738 ," 15,204 "," 14,042 "," 23,887 "," 1,103 "," 5,505 "," 70,086 "
ERR1022472,uncultured Blautia sp.,Blautia," 30,799 ", 817 ," 3,848 ", 26 ," 29,364 "," 9,849 ", 586 ," 3,719 ", 321 ," 196,243 "
ERR1022474,Roseburia intestinalis,Roseburia," 4,006 "," 272,274 "," 64,352 "," 9,096 "," 42,983 "," 70,512 "," 46,941 "," 10,111 "," 26,151 "," 1,067 "
ERR1022484,Faecalibacterium prausnitzii,Faecalibacterium," 1,235 "," 1,419 "," 9,602 ", 58 ," 27,452 "," 1,634 "," 851,458 ", 106 ," 14,529 ", 511 
ERR1022485,uncultured Ruminococcus sp.,Ruminococcus," 17,240 "," 56,016 "," 4,828 ", 291 ," 16,202 "," 1,972 "," 21,788 "," 11,014 "," 3,385 "," 2,380 "
ERR1022486,uncultured Ruminococcus sp.,Ruminococcus," 8,724 ", 537 ," 6,236 "," 110,769 "," 6,610 "," 2,413 ", 85 , 701 , 863 ," 5,249 "
ERR1203919,Lactobacillus rhamnosus,Lactobacillus," 18,784 ", 86 ," 4,276 "," 49,564 "," 1,772 "," 1,285 ", 137 ," 2,448 "," 6,436 "," 3,498 "
ERR1203921,Enterococcus faecalis,Enterococcus," 4,639 "," 2,289 ", 305 ," 16,465 "," 98,992 "," 4,138 "," 6,043 ", 355 ," 2,624 "," 32,157 "
ERR1203922,Clostridium perfringens,Clostridium," 15,261 "," 28,387 "," 2,712 ", 56 ," 5,033 "," 1,423 "," 1,185 "," 12,186 "," 16,417 "," 120,130 "
ERR1203927,Enterococcus faecalis,Enterococcus," 124,398 "," 42,635 "," 12,843 "," 1,660 "," 44,807 "," 28,004 "," 186,856 "," 115,886 "," 1,925 "," 3,947 "
ERR1203928,Enterococcus faecalis,Enterococcus," 7,157 "," 123,649 "," 9,658 ", 151 ," 29,966 "," 85,821 ", 657 ," 15,277 "," 1,679 "," 127,310 "
ERR1203929,Clostridium perfringens,Clostridium," 1,162 ", 122 , 963 ," 38,475 "," 1,589 ", 909 ," 17,679 "," 15,577 "," 5,419 "," 115,116 "
ERR1203930,Lactobacillus gasseri,Lactobacillus," 683,432 "," 253,837 "," 44,504 "," 1,287 "," 9,897 "," 1,083 "," 8,402 "," 2,002 "," 5,973 "," 18,180 "
ERR1203931,Enterococcus faecalis,Enterococcus," 4,980 "," 1,070 "," 79,867 ", 34 ," 12,270 ", 475 ," 1,075 "," 6,797 "," 3,085 "," 27,572 "
ERR1203932,Clostridium perfringens,Clostridium, 128 ," 5,993 "," 7,209 "," 25,222 "," 46,661 "," 317,778 "," 8,108 "," 3,253 "," 12,549 "," 2,434 "
ERR1203940,Collinsella aerofaciens,Collinsella," 18,637 "," 12,021 "," 27,259 "," 97,855 "," 14,473 "," 25,751 "," 5,737 "," 2,700 ", 831 ," 14,080 "
ERR1203941,Roseburia inulinivorans,Roseburia," 187,686 ", 847 , 255 ," 1,262 "," 1,167 "," 2,967 "," 18,545 "," 16,027 ", 518 , 96 
ERR1203947,Alistipes onderdonkii,Alistipes," 1,304 ", 80 , 100 ," 2,672 "," 175,230 "," 9,616 "," 3,412 "," 2,556 "," 11,308 "," 15,419 "
ERR1203955,Blautia obeum,Blautia, 739 ," 1,675 "," 103,867 "," 7,384 "," 9,316 "," 14,762 "," 3,114 "," 43,450 "," 8,055 "," 2,088 "
ERR1203957,Barnesiella intestinihominis,Barnesiella," 1,881 "," 5,168 ", 192 ," 1,862 "," 26,422 "," 177,746 "," 11,238 "," 22,894 "," 3,120 "," 1,083 "
ERR1203960,Bifidobacterium adolescentis,Bifidobacterium," 28,690 ", 729 , 558 ," 47,025 "," 54,193 "," 5,860 "," 320,210 "," 13,503 "," 16,719 "," 4,954 "
ERR1203961,Sutterella wadsworthensis,Sutterella," 15,716 ", 692 ," 1,167 "," 11,850 ", 501 ," 3,524 ", 301 ," 48,976 "," 24,193 "," 14,929 "
ERR1203969,Dorea longicatena,Dorea," 4,957 "," 8,458 "," 1,814 ", 344 ," 1,972 "," 4,958 "," 4,096 "," 6,770 "," 19,688 "," 2,672 "
ERR1203972,Eubacterium ventriosum,Eubacterium," 1,379 "," 3,290 "," 1,039 ", 544 ," 44,479 "," 27,101 "," 19,509 "," 199,188 "," 1,501 "," 1,112 "
ERR1203973,Odoribacter splanchnicus,Odoribacter," 10,017 "," 10,422 "," 8,578 "," 5,610 "," 981,525 "," 9,735 "," 13,734 "," 893,728 "," 13,762 "," 40,577 "
ERR1203975,Dorea formicigenerans,Dorea," 59,541 "," 3,923 "," 1,237 "," 21,973 "," 10,806 ", 569 ," 4,789 "," 31,805 "," 1,438 "," 2,210 "
ERR1203976,Bifidobacterium pseudocatenulatum,Bifidobacterium," 8,679 ", 712 ," 2,524 "," 1,370 "," 63,953 "," 5,815 "," 872,750 "," 17,961 "," 9,960 ", 46 
ERR1204022,Enterococcus faecalis,Enterococcus," 1,600 "," 59,218 "," 1,352 "," 1,992 "," 63,467 "," 1,378 "," 5,202 "," 14,983 "," 32,998 "," 3,201 "
ERR1204023,Clostridium perfringens,Clostridium," 15,700 "," 20,446 "," 144,865 "," 1,829 "," 1,529 ", 18 ," 8,814 "," 4,854 "," 119,800 "," 3,748 "
ERR1204024,Lactobacillus gasseri,Lactobacillus, 750 ," 35,847 "," 29,987 ", 166 ," 63,278 "," 1,891 ", 89 ," 1,181 "," 2,114 "," 4,926 "
ERR1204025,Enterococcus faecalis,Enterococcus," 14,166 ", 260 ," 11,240 "," 42,145 "," 20,786 "," 2,195 "," 50,118 ", 687 ," 12,096 "," 350,657 "
ERR1204026,Clostridium perfringens,Clostridium," 5,574 "," 32,014 "," 12,427 "," 8,165 "," 71,336 "," 130,528 "," 35,801 "," 1,407 "," 8,076 "," 58,496 "
ERR1204034,Collinsella aerofaciens,Collinsella," 11,926 ", 147 ," 33,852 "," 9,113 "," 5,411 "," 39,159 "," 6,972 "," 11,280 "," 13,367 ", 148 
ERR1204035,Roseburia inulinivorans,Roseburia," 1,890 "," 1,503 ", 490 , 8 ," 7,682 "," 3,440 "," 2,909 "," 8,377 ", 822 ," 164,291 "
ERR1204041,Alistipes onderdonkii,Alistipes," 1,033 ", 281 , 307 , 635 ," 1,070 ", 509 ," 5,779 "," 24,674 "," 44,710 "," 1,900 "
ERR1204049,Blautia obeum,Blautia," 584,618 ", 53 ," 2,326 "," 20,062 "," 2,305 "," 6,447 "," 6,612 "," 6,461 "," 79,732 "," 13,851 "
ERR1204051,Barnesiella intestinihominis,Barnesiella," 1,899 "," 167,076 "," 8,576 "," 18,040 "," 65,883 "," 49,553 "," 20,550 "," 6,815 "," 15,151 ", 327 
ERR1204054,Bifidobacterium adolescentis,Bifidobacterium, 473 ," 1,182 "," 7,312 "," 1,079 ", 370 ," 14,859 "," 10,342 "," 1,739 "," 8,514 "," 1,316 "
ERR1204055,Sutterella wadsworthensis,Sutterella," 17,473 "," 2,472 "," 15,325 "," 1,465 "," 6,837 "," 116,441 "," 33,437 "," 1,783 "," 122,028 ", 224 
ERR1204063,Dorea longicatena,Dorea," 1,152 "," 2,014 "," 6,448 "," 12,325 "," 11,849 "," 8,732 "," 7,915 ", 241 ," 7,321 "," 30,247 "
ERR1204065,Blautia luti,Blautia, 312 ," 9,465 ", 373 ," 9,112 "," 3,063 ", 454 , 102 ," 1,154 "," 29,133 ", 26 
ERR1204066,Eubacterium ventriosum,Eubacterium," 70,274 "," 107,231 "," 35,865 "," 52,479 ", 283 ," 2,505 "," 45,995 "," 1,320 "," 6,709 "," 1,531 "
ERR1204067,Odoribacter splanchnicus,Odoribacter, 812 ," 126,030 "," 9,575 "," 109,924 "," 2,026 "," 1,097 "," 42,313 "," 2,338 "," 9,852 "," 19,215 "
ERR1204069,Dorea formicigenerans,Dorea," 41,441 ", 409 ," 35,629 "," 1,098 "," 9,508 "," 12,595 "," 7,234 ", 288 ," 312,586 ", 367 
ERR1204070,Bifidobacterium pseudocatenulatum,Bifidobacterium," 2,141 ", 289 ," 103,652 "," 6,933 "," 8,481 "," 12,451 ", 9 , 144 ," 74,675 "," 4,549 "
ERR2221122,Staphylococcus xylosus,Staphylococcus," 17,706 ", 212 ," 2,367 "," 1,018 "," 26,965 ", 828 , 386 ," 962,848 "," 1,145 ", 508 
ERR2221123,Lactobacillus intestinalis,Lactobacillus," 3,135 ", 356 ," 4,993 "," 3,709 ", 674 ," 14,343 "," 13,193 "," 4,162 "," 6,632 "," 1,742 "
ERR2221124,Lactobacillus johnsonii,Lactobacillus," 90,090 "," 219,844 "," 10,852 ", 209 ," 3,874 "," 32,703 "," 3,090 "," 237,852 "," 3,538 ", 578 
ERR2221125,Lactobacillus murinus,Lactobacillus, 649 ," 4,435 ", 141 ," 3,111 "," 2,412 "," 2,192 "," 56,227 "," 13,588 "," 11,417 "," 1,143 "
ERR2221126,Lactobacillus murinus,Lactobacillus," 107,121 ", 810 ," 5,061 "," 14,872 "," 1,030 "," 9,459 "," 1,038,143 "," 43,678 "," 30,773 "," 51,651 "
ERR2221131,Staphylococcus saprophyticus,Staphylococcus," 1,903 "," 1,312 "," 11,608 "," 2,366 "," 1,010 "," 7,231 "," 6,755 "," 5,925 "," 27,658 ", 117 
ERR2221132,Bacillus subtilis,Bacillus," 2,623 "," 37,454 "," 3,934 "," 4,327 "," 5,904 ", 998 ," 2,188 ", 640 , 355 ," 1,806 "
ERR2221136,Bacteroides ovatus,Bacteroides," 10,330 "," 7,355 "," 15,073 "," 1,020,365 "," 69,117 ", 175 , 311 , 891 ," 2,756 "," 9,722 "
ERR2221140,uncultured Barnesiella sp.,Barnesiella," 20,933 "," 2,330 "," 1,456 ", 241 ," 7,582 "," 351,964 "," 10,306 "," 3,650 ", 663 ," 4,541 "
ERR2221142,Bifidobacterium pseudocatenulatum,Bifidobacterium," 4,991 ", 975 ," 385,176 "," 8,250 "," 13,990 "," 33,984 "," 1,977 ", 740 ," 2,128 "," 9,249 "
ERR2221143,Blautia glucerasea,Blautia, 101 , 779 ," 4,494 ", 766 ," 2,931 ", 899 , 308 ," 1,313 ", 415 ," 3,855 "
ERR2221144,Butyricimonas virosa,Butyricimonas," 20,471 "," 262,509 ", 407 ," 87,022 "," 9,353 "," 20,381 "," 4,324 "," 14,980 "," 5,376 "," 129,141 "
ERR2221153,Collinsella aerofaciens,Collinsella," 16,887 "," 28,618 ", 431 ," 2,640 "," 3,681 "," 1,394 "," 14,288 ", 619 ," 180,112 "," 30,790 "
ERR2221156,Enterobacter cloacae,Enterobacter, 848 ," 242,640 "," 3,056 "," 3,157 ", 211 ," 25,761 "," 75,170 "," 7,642 "," 4,735 "," 130,511 "
ERR2221157,Enterobacter ludwigii,Enterobacter," 80,403 "," 1,880 "," 1,858 "," 2,437 "," 2,252 ", 809 ," 1,702 "," 1,915 "," 2,384 ", 238 
ERR2221163,Lactobacillus curvatus,Lactobacillus," 60,074 "," 2,165 "," 7,394 "," 36,579 "," 13,438 "," 1,623 "," 20,712 "," 48,360 "," 23,131 ", 484 
ERR2221164,Lactobacillus gasseri,Lactobacillus," 34,217 ", 560 ," 5,099 "," 3,156 "," 5,725 ", 991 ," 34,084 "," 1,034 "," 4,599 "," 15,748 "
ERR2221165,Lactobacillus ruminis,Lactobacillus," 162,221 "," 2,646 "," 3,203 "," 1,777 "," 2,593 "," 4,568 "," 10,204 ", 321 ," 442,318 "," 5,948 "
ERR2221166,Lactobacillus vaginalis,Lactobacillus," 15,535 "," 11,223 "," 4,310 ", 209 , 784 ," 77,964 "," 1,017 "," 6,043 "," 4,542 "," 1,170 "
ERR2221167,Leuconostoc mesenteroides,Leuconostoc, 64 ," 66,161 "," 2,534 "," 1,501 "," 1,517 ", 439 ," 2,029 "," 37,942 ", 19 ," 3,681 "
ERR2221172,uncultured Ruminococcus sp.,Ruminococcus," 5,416 "," 13,498 "," 356,847 "," 10,438 "," 1,352 "," 3,564 "," 6,143 "," 45,771 ", 688 ," 11,920 "
ERR2221173,Streptococcus agalactiae,Streptococcus," 2,229 "," 10,872 "," 14,165 "," 1,333 "," 1,578 "," 56,647 "," 8,164 "," 2,224 "," 51,861 "," 23,383 "
ERR2221174,Streptococcus mutans,Streptococcus," 2,753 "," 51,219 "," 7,468 "," 1,718 "," 13,805 ", 227 ," 1,434 "," 6,818 ", 699 , 594 
ERR2221175,Streptococcus sanguinis,Streptococcus," 11,676 "," 43,314 "," 9,133 "," 100,021 "," 52,955 "," 2,701 "," 134,327 "," 7,326 "," 1,372 ", 822 
ERR2221186,Dorea longicatena,Dorea," 5,960 "," 5,405 "," 19,533 "," 2,210 "," 1,778 "," 4,292 "," 6,230 "," 9,470 "," 3,313 "," 6,054 "
ERR2221190,Streptococcus parasanguinis,Streptococcus," 7,830 ", 912 ," 14,040 "," 68,511 "," 7,223 ", 110 ," 86,331 "," 87,676 ", 194 , 917 
ERR2221194,Enterobacter hormaechei,Enterobacter," 873,742 "," 52,280 "," 7,316 "," 2,888 "," 22,846 "," 1,412 "," 35,757 "," 21,066 "," 24,640 "," 2,113 "
ERR2221195,Staphylococcus nepalensis,Staphylococcus," 1,764 "," 5,766 "," 13,747 "," 12,807 "," 24,130 "," 78,212 "," 169,704 "," 31,607 "," 16,029 "," 37,917 "
ERR2221203,Enterococcus faecalis,Enterococcus," 71,559 "," 133,683 ", 456 ," 17,991 ", 493 ," 23,766 ", 801 ," 5,457 "," 1,136 "," 1,411 "
ERR2221205,Lactobacillus johnsonii,Lactobacillus," 26,313 "," 1,846 ", 634 ," 27,582 "," 7,242 "," 51,791 "," 194,763 "," 3,093 ", 270 ," 34,049 "
ERR2221210,Alistipes finegoldii,Alistipes," 4,231 ", 541 ," 272,506 "," 5,031 "," 20,432 "," 4,258 ", 197 ," 14,626 "," 7,954 ", 418 
ERR2221215,Lactobacillus salivarius,Lactobacillus," 106,721 "," 12,799 "," 103,592 "," 90,520 ", 172 ," 65,162 "," 10,674 "," 2,104 "," 36,733 "," 27,654 "
ERR2221216,Enterococcus faecium,Enterococcus," 83,543 "," 1,145 "," 4,901 ", 808 ," 24,522 "," 11,136 "," 65,020 "," 3,108 "," 8,506 "," 1,847,056 "
ERR2221217,Enterococcus casseliflavus,Enterococcus," 20,464 "," 15,671 "," 25,663 "," 43,698 "," 12,059 "," 2,453 "," 22,232 "," 139,279 "," 126,186 ", 841 
ERR2221218,Enterococcus gallinarum,Enterococcus," 81,917 ", 139 ," 14,104 "," 1,259 "," 45,390 "," 13,965 "," 12,569 "," 23,811 "," 151,195 "," 5,253 "
ERR2221220,Ruminococcus bromii,Ruminococcus," 1,105 ", 134 ," 9,465 "," 67,295 "," 29,507 ", 674 ," 51,137 "," 68,857 ", 623 ," 5,856 "
ERR2221223,Enterococcus faecalis,Enterococcus," 4,809 "," 17,354 "," 1,444 "," 10,114 "," 1,065 "," 26,005 ", 438 , 164 ," 17,000 "," 17,064 "
ERR2221224,Exiguobacterium profundum,Exiguobacterium, 581 ," 8,467 ", 135 , 513 ," 3,411 "," 31,149 "," 5,659 ", 209 ," 4,867 "," 24,283 "
ERR2221226,Lactobacillus rhamnosus,Lactobacillus," 12,263 "," 24,937 "," 1,876 "," 158,098 "," 3,294 "," 2,321 ", 729 , 747 ," 39,121 "," 2,166 "
ERR2221228,Enterococcus faecalis,Enterococcus, 728 , 77 ," 7,262 ", 156 ," 1,257,323 ", 704 ," 2,053 "," 5,433 "," 47,537 "," 5,659 "
ERR2221229,Clostridium perfringens,Clostridium," 2,255 "," 49,371 ", 40 ," 5,148 "," 350,560 "," 2,443 "," 6,732 ", 236 ," 3,153 "," 32,531 "
ERR2221234,Enterococcus faecalis,Enterococcus," 5,427 "," 48,192 "," 23,467 ", 649 , 381 ," 13,387 "," 20,557 "," 29,219 "," 8,639 "," 35,159 "
ERR2221235,Corynebacterium pseudodiphtheriticum,Corynebacterium," 3,156 "," 34,410 "," 8,837 "," 1,455 "," 7,571 "," 4,627 "," 33,318 "," 50,065 "," 49,801 "," 3,716 "
ERR2221236,Enterococcus faecalis,Enterococcus, 69 ," 21,053 "," 20,408 ", 368 ," 11,111 ", 12 ," 13,855 "," 3,781 "," 17,115 ", 879 
ERR2221237,Lactobacillus casei,Lactobacillus," 3,578 "," 297,185 "," 20,341 "," 38,417 "," 19,433 ", 440 ," 218,201 ", 22 , 188 ," 14,867 "
ERR2221238,Clostridium disporicum,Clostridium," 11,122 ", 238 ," 745,552 "," 3,608 "," 2,622 "," 52,502 ", 438 ," 10,897 "," 9,370 "," 9,259 "
ERR2221241,Clostridium perfringens,Clostridium, 282 ," 1,361 "," 6,369 "," 225,623 "," 9,088 "," 1,153,105 "," 2,186 ", 594 ," 21,886 "," 33,001 "
ERR2221242,Acinetobacter lwoffii,Acinetobacter," 18,842 "," 9,911 "," 31,541 "," 15,769 "," 5,951 ", 578 , 260 ," 3,150 "," 192,252 "," 7,734 "
ERR2221243,Bacillus simplex,Bacillus, 293 , 870 ," 3,788 "," 1,095 "," 366,034 "," 21,760 "," 7,781 "," 2,594 "," 13,776 ", 610 
ERR2221244,Achromobacter xylosoxidans,Achromobacter," 3,535 "," 5,183 "," 134,572 "," 3,654 "," 339,998 "," 128,050 "," 69,613 "," 192,735 "," 34,308 "," 1,001 "
ERR2221245,Achromobacter xylosoxidans,Achromobacter," 5,080 "," 19,428 "," 28,305 ", 631 ," 2,934 "," 21,795 "," 7,381 "," 9,424 "," 2,552 "," 6,409 "
ERR2221246,Achromobacter xylosoxidans,Achromobacter," 10,643 "," 1,182 "," 49,837 "," 5,689 "," 4,854 ", 884 , 917 ," 1,727 "," 1,896 ", 286 
ERR2221247,Achromobacter xylosoxidans,Achromobacter," 13,816 "," 16,255 "," 175,542 "," 172,030 ", 685 ," 24,418 "," 14,991 "," 11,080 "," 4,503 "," 4,248 "
ERR2221248,Clostridium perfringens,Clostridium," 357,389 "," 13,119 "," 14,335 "," 32,097 "," 11,352 "," 136,555 ", 276 ," 1,549 "," 13,673 "," 11,434 "
