"Supplementary Table S1. Metadata of the 2,505 genomes used as reference to train the species classification model",,,,,,,,,,,,,
Genome,Source,Species label,Assignment level1,Phylum,Class,Order,Family,Genus,Species2, Genome size (bp) ,# Contigs, N50 (bp) ,GC (%)
13414_6_24,HGR,43,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 4,418,465 ",40," 238,385 ",42.18
13414_6_2,HGR,44,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,027,291 ",26," 397,337 ",34.03
13414_6_32,HGR,45,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 3,675,824 ",25," 380,409 ",43.93
13414_6_33,HGR,46,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,653,886 ",36," 223,559 ",47.12
13414_6_34,HGR,47,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 6,979,496 ",54," 310,095 ",48.94
13414_6_37,HGR,48,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,012,737 ",59," 91,834 ",38.23
13414_6_39,HGR,49,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,756,898 ",12," 469,987 ",47.05
13414_6_3,HGR,50,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,912,566 ",9," 425,215 ",40.98
13414_6_41,HGR,51,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 3,531,725 ",13," 503,423 ",44.91
13414_6_43,HGR,52,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,416,064 ",10," 673,861 ",37.71
13414_6_44,HGR,53,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,-," 3,275,056 ",81," 111,902 ",41.01
13414_6_47,HGR,54,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,-," 3,567,818 ",38," 196,467 ",42.96
13414_6_49,HGR,55,Class,Firmicutes,Bacilli,NA,NA,NA,-," 2,732,957 ",89," 59,059 ",34.21
13414_6_50,HGR,56,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,-," 3,126,606 ",39," 173,966 ",41.46
13414_6_53,HGR,57,Genus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,-," 2,852,528 ",48," 130,275 ",57.74
13414_6_58,HGR,58,Family,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,NA,-," 2,507,220 ",61," 88,668 ",29.98
13414_6_60,HGR,59,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,648,172 ",28," 157,791 ",47.78
13414_6_66,HGR,60,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 3,628,508 ",37," 162,267 ",42.51
13414_6_67,HGR,61,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,650,957 ",58," 114,127 ",45.85
13414_6_68,HGR,62,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,334,484 ",38," 283,444 ",44.43
13414_6_70,HGR,63,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,871,164 ",40," 158,140 ",40.78
13414_6_73,HGR,64,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,321,076 ",46," 2,127,284 ",28.09
13470_2_58,HGR,65,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,020,033 ",16," 310,267 ",59.96
13470_2_62,HGR,66,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 3,614,176 ",46," 163,040 ",40.19
13470_2_64,HGR,67,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 4,186,633 ",108," 72,797 ",46.41
13470_2_65,HGR,68,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 6,203,341 ",59," 183,985 ",42.35
13470_2_67,HGR,69,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,-," 4,305,808 ",18," 533,644 ",45.30
13470_2_71,HGR,70,Family,Tenericutes,Mollicutes,Erysipelotrichales,Erysipelotrichaceae,NA,-," 2,725,575 ",31," 189,413 ",29.27
13470_2_73,HGR,71,Genus,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,-," 2,561,300 ",53," 98,872 ",52.70
13470_2_75,HGR,72,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,449,564 ",55," 144,642 ",28.82
13470_2_77,HGR,73,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 2,457,263 ",31," 342,082 ",27.23
13470_2_78,HGR,74,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,390,789 ",37," 352,489 ",27.61
13470_2_81,HGR,75,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 3,891,993 ",84," 83,457 ",43.14
13470_2_91,HGR,76,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 2,693,657 ",38," 152,439 ",43.31
13470_2_92,HGR,77,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 4,169,640 ",92," 94,295 ",46.24
13470_2_93,HGR,78,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,561,714 ",64," 160,199 ",49.95
14207_6_11,HGR,79,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,276,064 ",69," 105,607 ",43.79
14207_6_12,HGR,80,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 2,187,878 ",21," 275,107 ",64.75
14207_6_13,HGR,81,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 5,218,912 ",171," 62,445 ",43.32
14207_6_2,HGR,82,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 3,238,347 ",98," 76,624 ",49.91
14207_6_3,HGR,83,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 3,326,589 ",73," 106,893 ",47.71
14207_6_9,HGR,84,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 4,372,611 ",118," 81,097 ",45.93
14207_7_10,HGR,85,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,452,403 ",14," 426,335 ",42.48
14207_7_18,HGR,86,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,891,162 ",15," 421,183 ",56.38
14207_7_1,HGR,87,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,-," 3,237,417 ",40," 437,259 ",37.96
14207_7_23,HGR,88,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 7,301,215 ",78," 189,289 ",43.27
14207_7_25,HGR,89,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-," 2,187,920 ",72," 61,305 ",60.12
14207_7_27,HGR,90,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,141,706 ",18," 1,660,681 ",28.60
14207_7_28,HGR,91,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 4,295,701 ",18," 739,639 ",45.12
14207_7_30,HGR,92,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,141,705 ",22," 1,732,372 ",28.01
14207_7_32,HGR,93,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,036,595 ",90," 95,360 ",37.68
14207_7_37,HGR,94,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,-," 3,411,049 ",43," 121,269 ",41.26
14207_7_42,HGR,95,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 5,880,143 ",120," 91,778 ",48.78
14207_7_43,HGR,96,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,714,607 ",62," 108,023 ",43.66
14207_7_50,HGR,97,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,999,081 ",50," 201,010 ",57.10
14207_7_52,HGR,98,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 3,104,058 ",33," 800,179 ",50.04
14207_7_54,HGR,99,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,815,973 ",47," 214,961 ",57.20
14207_7_56,HGR,100,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,929,849 ",46," 172,173 ",59.52
14207_7_57,HGR,101,Genus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,-," 2,657,141 ",105," 195,890 ",37.00
14207_7_59,HGR,102,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,650,269 ",33," 175,693 ",58.39
14207_7_64,HGR,103,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 2,617,416 ",10," 631,232 ",56.68
14207_7_70,HGR,104,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,-," 3,215,546 ",7," 702,390 ",58.21
14207_7_75,HGR,105,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,147,737 ",40," 1,828,200 ",26.99
14207_7_83,HGR,106,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,-," 4,322,432 ",99," 126,902 ",42.41
14207_7_86,HGR,107,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,088,292 ",15," 619,054 ",43.83
14207_7_87,HGR,108,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,191,314 ",35," 138,923 ",37.92
14207_7_89,HGR,109,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,336,197 ",88," 80,272 ",38.43
14207_7_90,HGR,110,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,823,105 ",78," 119,481 ",41.33
14207_7_95,HGR,111,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 2,272,166 ",22," 245,396 ",40.45
14207_7_9,HGR,112,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,-," 3,035,220 ",20," 364,527 ",36.51
14670_1_61,HGR,113,Genus,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-," 3,594,240 ",32," 297,794 ",42.06
14672_4_4,HGR,114,Genus,Firmicutes,Bacilli,Bacillales,Exiguobacterium,Exiguobacterium,-," 2,828,368 ",106," 53,531 ",47.85
15841_8_64,HGR,115,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 4,077,364 ",26," 327,215 ",28.28
15841_8_85,HGR,116,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,257,633 ",10," 882,282 ",44.35
15841_8_88,HGR,117,Genus,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,-," 2,504,704 ",18," 230,435 ",56.53
17138_5_74,HGR,118,Genus,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,-," 3,378,741 ",116," 80,144 ",42.69
17138_5_75,HGR,119,Genus,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,-," 5,860,430 ",32," 632,220 ",39.60
18048_1_69,HGR,120,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,625,378 ",83," 102,136 ",47.79
18048_1_70,HGR,121,Family,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,NA,-," 3,012,248 ",23," 258,203 ",58.23
18048_1_72,HGR,122,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 3,420,342 ",20," 400,443 ",41.74
18048_1_93,HGR,123,Genus,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,-," 2,189,246 ",6," 1,692,164 ",56.35
18048_2_57,HGR,124,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-," 2,099,732 ",41," 127,809 ",59.94
18048_2_67,HGR,125,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 3,488,879 ",30," 385,361 ",43.97
18048_2_82,HGR,126,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,355,718 ",88," 73,373 ",59.06
18048_2_85,HGR,127,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,398,250 ",88," 92,773 ",51.90
18048_2_90,HGR,128,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter,-," 4,499,485 ",40," 181,499 ",43.56
18391_1_11,HGR,129,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 1,948,071 ",46," 87,267 ",37.53
18391_1_7,HGR,130,Genus,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,-," 2,151,775 ",19," 1,618,393 ",59.47
20287_6_18,HGR,131,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,343,160 ",24," 300,527 ",45.41
20287_6_22,HGR,132,Genus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,-," 3,052,732 ",24," 473,238 ",46.51
20287_6_33,HGR,133,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,-," 3,162,856 ",78," 77,936 ",38.37
20287_6_37,HGR,134,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,326,194 ",95," 93,811 ",57.90
20287_6_4,HGR,135,Genus,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,-," 6,684,403 ",18," 710,199 ",67.55
20287_6_53,HGR,136,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 6,560,687 ",34," 396,899 ",42.82
20287_6_63,HGR,137,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 3,774,627 ",45," 246,247 ",48.30
20287_6_6,HGR,138,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,-," 6,212,872 ",53," 570,737 ",55.62
20287_6_70,HGR,139,Family,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,NA,-," 2,278,136 ",37," 178,732 ",60.06
20287_6_88,HGR,140,Family,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,-," 5,524,596 ",35," 282,062 ",48.25
20287_6_9,HGR,141,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 5,427,262 ",29," 410,299 ",41.90
20298_2_10,HGR,142,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 2,036,950 ",20," 291,382 ",36.73
20298_2_19,HGR,143,Genus,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,-," 2,296,823 ",29," 553,794 ",38.74
20298_2_1,HGR,144,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-," 1,849,821 ",19," 206,799 ",41.09
20298_2_23,HGR,145,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 4,868,482 ",88," 125,364 ",39.37
20298_2_28,HGR,146,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 4,030,172 ",23," 451,145 ",60.00
20298_2_29,HGR,147,Genus,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionimicrobium,-," 2,626,341 ",60," 104,605 ",67.23
20298_2_31,HGR,148,Family,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,NA,-," 2,685,359 ",14," 396,778 ",35.26
20298_2_33,HGR,149,Genus,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-," 2,847,512 ",135," 50,603 ",37.69
20298_2_3,HGR,150,Family,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,NA,-," 2,543,735 ",39," 268,729 ",72.96
20298_2_47,HGR,151,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,838,863 ",27," 717,148 ",28.37
20298_2_49,HGR,152,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 2,186,624 ",15," 398,961 ",35.32
20298_2_4,HGR,153,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 4,467,427 ",32," 374,449 ",54.98
20298_2_53,HGR,154,Genus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,-," 2,011,472 ",20," 199,860 ",32.57
20298_2_5,HGR,155,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,679,184 ",65," 139,200 ",27.90
20298_2_67,HGR,156,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,-," 5,710,633 ",30," 430,178 ",56.24
20298_2_7,HGR,157,Genus,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,-," 3,966,587 ",18," 655,330 ",45.47
20298_3_11,HGR,158,Genus,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-," 2,754,334 ",5," 1,529,707 ",37.54
20298_3_12,HGR,159,Genus,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,-," 3,151,426 ",15," 476,239 ",40.69
20298_3_13,HGR,160,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,-," 5,860,621 ",21," 428,618 ",55.23
20298_3_14,HGR,161,Family,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,NA,-," 3,455,915 ",29," 264,010 ",44.16
20298_3_17,HGR,162,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,-," 4,739,968 ",17," 899,252 ",51.77
20298_3_18,HGR,163,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 2,017,290 ",5," 1,384,501 ",42.09
20298_3_19,HGR,164,Family,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,NA,-," 4,775,714 ",20," 501,893 ",52.87
20298_3_1,HGR,165,Genus,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,-," 2,484,103 ",9," 703,477 ",60.05
20298_3_21,HGR,166,Genus,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,-," 3,112,947 ",8," 788,009 ",68.40
20298_3_24,HGR,167,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 2,252,077 ",23," 222,177 ",39.74
20298_3_25,HGR,168,Genus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,-," 2,012,836 ",6," 1,529,949 ",42.18
20298_3_26,HGR,169,Genus,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium,-," 3,522,150 ",22," 779,698 ",29.91
20298_3_28,HGR,170,Genus,Firmicutes,Bacilli,Bacillales,Exiguobacterium,Exiguobacterium,-," 3,094,362 ",22," 1,574,582 ",47.00
20298_3_2,HGR,171,Genus,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,-," 1,921,316 ",12," 202,473 ",60.47
20298_3_30,HGR,172,Family,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,NA,-," 3,354,558 ",25," 347,153 ",40.25
20298_3_34,HGR,173,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 3,130,601 ",18," 518,128 ",49.05
20298_3_35,HGR,174,Genus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,-," 3,510,321 ",52," 138,586 ",40.97
20298_3_36,HGR,175,Genus,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI,Peptoniphilus,-," 2,173,494 ",22," 497,322 ",34.09
20298_3_37,HGR,176,Genus,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,-," 5,272,752 ",16," 777,274 ",57.57
20298_3_39,HGR,177,Order,Firmicutes,Clostridia,Clostridiales,NA,NA,-," 4,357,692 ",41," 238,362 ",47.47
