"Supplementary Table S2. Metadata of the 3,269 high quality MAGs used to benchmark the read-level specificity and sensitivity of different species classification models ",,,,,,,,,,,,,,,,,,,
MAG_ID_ENA,Completeness (%),Closest reference,Species label, Reference genome size (bp) ,Reference genome covered (%),CheckM lineage (reference),Phylum (reference),Class (reference),Order (reference),Family (reference),Genus (reference), MAG genome size (bp) ,MAG aligned to reference (%),ANI between MAG and reference (%),Mash distance between MAG and reference,Most similar reference covered (%),Reference aligned to most similar reference (%),ANI between reference and most similar reference (%),Mash distance between reference and most similar reference
MAG-GUT10181,97.99,UMGS81,2310," 2,147,437 ",94.70,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,090,769 ",97.27,99.91,0.00,2.53,2.50,81.54,0.24
MAG-GUT10183,91.28,UMGS130,878," 2,803,158 ",82.86,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,588,347 ",89.40,98.42,0.02,36.54,34.52,86.50,0.15
MAG-GUT1018,100.00,GCF_000411535,426," 2,071,607 ",87.54,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_atypica,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,989,158 ",91.19,96.71,0.03,76.81,73.16,89.52,0.08
MAG-GUT1024,99.46,GCF_000026505,228," 3,010,111 ",83.08,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_rhamnosus,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus," 2,883,861 ",86.22,97.48,0.03,0.82,1.10,91.46,0.23
MAG-GUT10262,98.66,14207_7_52,98," 3,104,058 ",79.36,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,755,679 ",88.70,99.03,0.02,3.17,2.34,89.25,0.21
MAG-GUT1026,91.12,GCF_000413335,428," 2,741,290 ",77.19,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,266,438 ",93.22,98.31,0.02,43.40,39.43,84.88,0.18
MAG-GUT10270,98.20,GCF_000411395,422," 2,287,856 ",87.81,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus," 2,090,588 ",95.34,99.95,0.00,89.41,82.22,92.68,0.06
MAG-GUT1029,99.63,20298_3_11,158," 2,754,334 ",92.20,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,834,228 ",89.38,99.23,0.01,2.77,2.91,85.76,0.23
MAG-GUT1033,98.68,GCF_000413335,428," 2,741,290 ",84.42,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,542,190 ",90.99,98.39,0.02,43.40,39.43,84.88,0.18
MAG-GUT10345,98.66,14207_7_9,112," 3,035,220 ",78.03,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,446,896 ",96.72,99.05,0.01,26.84,26.34,89.17,0.14
MAG-GUT10346,99.88,UMGS14,1077," 2,278,300 ",88.38,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera," 2,116,360 ",94.53,99.53,0.01,77.35,60.90,87.83,0.11
MAG-GUT10359,94.22,UMGS181,1411," 3,014,646 ",93.17,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia," 2,882,203 ",97.50,99.96,0.00,82.14,85.38,94.38,0.05
MAG-GUT1036,99.63,20298_3_11,158," 2,754,334 ",90.54,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,691,393 ",92.50,99.11,0.01,2.77,2.91,85.76,0.23
MAG-GUT10374,93.29,UMGS81,2310," 2,147,437 ",76.35,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,845,426 ",88.78,98.24,0.02,2.53,2.50,81.54,0.24
MAG-GUT10376,98.63,21673_4_22,201," 2,827,949 ",79.24,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,543,082 ",87.68,97.85,0.02,81.78,64.89,89.46,0.09
MAG-GUT1037,97.38,20298_3_11,158," 2,754,334 ",89.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,623,958 ",93.12,99.11,0.01,2.77,2.91,85.76,0.23
MAG-GUT10398,99.40,GCF_000411395,422," 2,287,856 ",89.04,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus," 2,093,783 ",96.47,99.95,0.00,89.41,82.22,92.68,0.06
MAG-GUT103,96.96,UMGS178,1382," 2,449,685 ",89.24,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella," 2,662,533 ",82.69,98.07,0.02,2.74,3.68,89.03,0.20
MAG-GUT10417,97.58,UMGS52,2008," 2,078,971 ",88.03,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium," 2,238,739 ",81.81,97.12,0.03,19.51,15.04,84.93,0.20
MAG-GUT10454,98.66,UMGS87,2373," 1,862,956 ",92.01,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,943,854 ",88.13,97.88,0.02,56.92,57.19,85.15,0.14
MAG-GUT10478,96.64,UMGS4,1978," 2,455,820 ",85.43,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio," 2,245,311 ",93.49,99.07,0.01,2.29,4.20,98.52,0.17
MAG-GUT1047,99.63,20298_3_11,158," 2,754,334 ",91.00,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,796,706 ",89.49,99.09,0.01,2.77,2.91,85.76,0.23
MAG-GUT10488,100.00,18391_1_7,130," 2,151,775 ",87.36,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium_adolescentis,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium," 2,130,873 ",87.94,98.68,0.01,45.18,42.83,87.81,0.13
MAG-GUT1049,100.00,GCF_000411535,426," 2,071,607 ",87.56,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_atypica,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,979,057 ",91.23,96.72,0.03,76.81,73.16,89.52,0.08
MAG-GUT1050,100.00,GCF_000411535,426," 2,071,607 ",86.73,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_atypica,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 1,915,323 ",93.39,96.74,0.03,76.81,73.16,89.52,0.08
MAG-GUT10512,96.10,UMGS186,1460," 2,229,262 ",82.77,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,102,228 ",87.67,98.20,0.02,78.57,77.63,88.77,0.09
MAG-GUT1052,99.63,20298_3_11,158," 2,754,334 ",90.16,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,660,351 ",93.07,99.10,0.01,2.77,2.91,85.76,0.23
MAG-GUT10537,98.63,21673_4_22,201," 2,827,949 ",81.01,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,732,459 ",82.98,97.76,0.03,81.78,64.89,89.46,0.09
MAG-GUT10541,98.25,GCF_000209405,341," 3,118,216 ",75.31,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus," 2,535,441 ",91.66,99.83,0.01,7.87,11.05,98.46,0.12
MAG-GUT1054,100.00,GCF_000413335,428," 2,741,290 ",82.51,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_avidum,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,495,899 ",90.49,96.11,0.03,43.40,39.43,84.88,0.18
MAG-GUT1055,99.63,20298_3_11,158," 2,754,334 ",92.25,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,775,728 ",91.28,99.11,0.01,2.77,2.91,85.76,0.23
MAG-GUT10562,98.49,21673_4_5,211," 3,315,322 ",88.75,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2;g__Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Barnesiella," 3,185,910 ",92.12,98.52,0.02,2.95,3.53,96.98,0.17
MAG-GUT10584,96.64,UMGS87,2373," 1,862,956 ",87.78,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,773,139 ",91.99,98.14,0.02,56.92,57.19,85.15,0.14
MAG-GUT10593,99.40,UMGS13,971," 2,111,963 ",98.39,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,117,989 ",98.10,99.99,0.00,5.58,5.68,84.13,0.23
MAG-GUT10599,96.64,UMGS177,1371," 1,758,863 ",98.08,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus," 1,873,833 ",92.15,99.95,0.00,73.38,76.97,88.66,0.08
MAG-GUT1059,100.00,GCF_000413335,428," 2,741,290 ",82.30,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_avidum,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,490,716 ",90.47,96.10,0.03,43.40,39.43,84.88,0.18
MAG-GUT10606,96.90,UMGS87,2373," 1,862,956 ",91.74,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,952,912 ",87.42,98.32,0.02,56.92,57.19,85.15,0.14
MAG-GUT10612,91.78,21673_4_22,201," 2,827,949 ",77.09,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,650,749 ",81.77,97.86,0.03,81.78,64.89,89.46,0.09
MAG-GUT10617,97.26,21673_4_22,201," 2,827,949 ",77.26,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,454,728 ",88.31,97.84,0.02,81.78,64.89,89.46,0.09
MAG-GUT10625,97.26,GCF_000411395,422," 2,287,856 ",88.64,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus_intestini,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus," 2,066,370 ",97.25,99.92,0.00,89.41,82.22,92.68,0.06
MAG-GUT10629,90.94,UMGS87,2373," 1,862,956 ",88.51,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,755,212 ",93.58,98.41,0.02,56.92,57.19,85.15,0.14
MAG-GUT1062,99.63,20298_3_11,158," 2,754,334 ",91.96,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,766,032 ",91.18,99.13,0.01,2.77,2.91,85.76,0.23
MAG-GUT10635,96.64,UMGS231,1700," 2,524,518 ",91.90,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,528,492 ",91.88,99.10,0.01,79.48,80.01,89.40,0.10
MAG-GUT10653,98.66,UMGS87,2373," 1,862,956 ",91.20,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,891,285 ",89.76,98.04,0.02,56.92,57.19,85.15,0.14
MAG-GUT1065,99.67,GCF_000413335,428," 2,741,290 ",82.29,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_avidum,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,486,861 ",90.57,96.11,0.03,43.40,39.43,84.88,0.18
MAG-GUT10701,97.09,13470_2_58,65," 3,020,033 ",72.73,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 2,300,978 ",95.20,99.59,0.01,65.03,40.22,88.30,0.13
MAG-GUT10717,99.06,14207_7_9,112," 3,035,220 ",78.96,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae_2;g__Lachnospira,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira," 2,628,512 ",90.95,99.08,0.01,26.84,26.34,89.17,0.14
MAG-GUT10734,90.75,UMGS360,1831," 2,414,446 ",84.71,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae_2,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Unassigned," 2,310,166 ",88.98,98.15,0.02,0.79,0.67,94.47,0.23
MAG-GUT1077,99.63,20298_3_11,158," 2,754,334 ",92.17,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,772,208 ",91.35,99.11,0.01,2.77,2.91,85.76,0.23
MAG-GUT10786,92.12,18048_1_70,121," 3,012,248 ",66.00,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 2,157,058 ",91.83,98.07,0.03,66.62,59.66,88.05,0.11
MAG-GUT10793,98.42,GCF_000209405,341," 3,118,216 ",75.33,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus," 2,480,688 ",93.56,99.83,0.01,7.87,11.05,98.46,0.12
MAG-GUT10807,99.24,GCF_000209405,341," 3,118,216 ",76.27,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus," 2,458,163 ",95.70,99.74,0.01,7.87,11.05,98.46,0.12
MAG-GUT1081,99.67,20298_3_3,178," 2,560,878 ",88.26,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_epidermidis,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus," 2,343,111 ",95.73,98.85,0.01,5.92,6.80,83.75,0.23
MAG-GUT1082,99.25,18391_1_11,129," 1,948,071 ",86.23,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus," 1,765,288 ",94.34,99.45,0.01,78.01,77.56,94.02,0.05
MAG-GUT10835,92.95,UMGS132,900," 1,845,394 ",85.42,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,789,654 ",88.15,97.55,0.03,1.93,1.78,93.90,0.24
MAG-GUT10839,92.04,UMGS12,867," 2,229,238 ",82.09,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella," 1,961,032 ",93.89,98.93,0.01,89.95,53.27,92.01,0.08
MAG-GUT10849,95.21,21673_4_22,201," 2,827,949 ",77.64,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,509,228 ",87.00,97.74,0.03,81.78,64.89,89.46,0.09
MAG-GUT10866,97.95,21673_4_22,201," 2,827,949 ",78.51,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,552,617 ",86.40,97.69,0.03,81.78,64.89,89.46,0.09
MAG-GUT1086,100.00,18391_1_11,129," 1,948,071 ",87.66,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus," 1,790,216 ",94.27,99.43,0.01,78.01,77.56,94.02,0.05
MAG-GUT10881,98.32,UMGS87,2373," 1,862,956 ",91.61,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned," 1,821,680 ",93.59,98.39,0.02,56.92,57.19,85.15,0.14
MAG-GUT10883,97.09,UMGS40,1882," 2,575,064 ",78.42,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,293,626 ",88.02,99.32,0.01,0.37,0.15,94.68,0.24
MAG-GUT1088,99.63,20298_3_11,158," 2,754,334 ",92.30,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus," 2,777,455 ",91.34,99.12,0.01,2.77,2.91,85.76,0.23
MAG-GUT1089,100.00,GCF_000413335,428," 2,741,290 ",82.52,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium;s__Propionibacterium_avidum,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium," 2,497,006 ",90.50,96.11,0.03,43.40,39.43,84.88,0.18
MAG-GUT10909,96.15,UMGS185,1450," 2,201,228 ",88.48,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus," 2,094,856 ",92.82,97.64,0.02,77.63,78.57,88.77,0.09
MAG-GUT10928,95.97,GCF_000156175,260," 1,809,497 ",81.93,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Collinsella," 1,687,832 ",87.53,97.75,0.03,80.17,71.64,94.44,0.05
MAG-GUT10982,94.97,12718_7_41,17," 2,569,277 ",85.87,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned," 2,278,989 ",96.56,98.51,0.01,90.43,54.91,93.19,0.07
MAG-GUT11004,93.54,GCF_000154505,240," 3,622,605 ",71.29,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned," 2,698,782 ",95.58,99.65,0.01,7.29,5.22,91.00,0.17
MAG-GUT11014,96.96,18048_2_85,127," 3,398,250 ",73.96,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae_2;g__Clostridium_2,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium," 3,077,201 ",80.77,98.26,0.02,7.71,6.50,97.35,0.14
MAG-GUT11020,100.00,GCF_000163735,310," 2,174,425 ",88.69,k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Veillonella;s__Veillonella_parvula,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella," 2,107,484 ",91.46,96.20,0.03,72.47,53.88,88.75,0.10
