"Supplementary Table S6. False positive species classification of different tools on data sets generated by simulating 1x coverage reads using 121 genomes from species not included in RefSeq database or training (query aligned = 10-60%, ANI < 95%) ",,,,,,,,,,
Genome assembly,Kraken classified (%),Kraken 2 classified (%),CLARK classified (%),CLARK-S classified (%),DeepMicrobes classified (%),# of Kraken species,# of Kraken 2 speices,# of CLARK species,# of CLARK-S species,# of DeepMicrobes species
GCA_002431505.1_ASM243150v1,13.22,13.18,47.32,12.83,0.43,153,249,377,134,26
GCA_002431785.1_ASM243178v1,4.99,7.89,11.89,15.41,3.65,39,71,133,78,41
GCA_002434265.1_ASM243426v1,18.65,16.41,53.87,22.11,3.69,180,293,407,113,40
GCA_002434875.1_ASM243487v1,72.44,63.32,34.93,24.02,1.30,26,55,118,43,30
GCA_002435485.1_ASM243548v1,11.76,11.13,35.41,20.20,2.45,48,77,147,31,28
GCA_002435565.1_ASM243556v1,9.84,10.49,36.78,11.52,0.27,139,236,310,148,22
GCA_002436925.1_ASM243692v1,13.47,12.47,37.36,19.85,3.10,44,67,125,28,27
GCA_002437345.1_ASM243734v1,13.26,11.69,36.39,21.36,2.77,47,68,129,32,25
GCA_002437525.1_ASM243752v1,13.28,12.58,35.92,20.69,2.96,41,78,141,25,23
GCA_002437815.1_ASM243781v1,2.59,6.36,16.99,30.87,0.69,56,65,138,58,31
GCA_002438225.1_ASM243822v1,15.37,13.81,48.70,16.15,4.84,248,367,524,202,43
GCA_002438425.1_ASM243842v1,12.44,11.50,34.93,21.37,3.08,41,83,134,33,29
GCA_002438935.1_ASM243893v1,13.07,10.80,35.90,21.68,3.01,48,64,123,30,26
GCA_002440065.1_ASM244006v1,6.67,7.97,14.41,17.09,3.50,54,86,154,85,45
GCA_002440665.1_ASM244066v1,8.39,8.44,27.54,22.38,1.59,231,295,526,217,33
GCA_002449055.1_ASM244905v1,12.08,12.11,35.45,20.65,2.75,43,83,142,30,25
GCA_002451435.1_ASM245143v1,12.80,13.13,37.75,20.75,2.92,46,90,130,35,28
GCA_002451535.1_ASM245153v1,13.31,11.95,36.03,21.56,2.91,37,73,119,28,26
GCA_002451655.1_ASM245165v1,12.27,11.81,34.22,20.51,2.70,40,75,123,35,34
GCA_002451915.1_ASM245191v1,11.85,11.14,34.97,20.43,2.50,47,69,142,31,28
GCA_002451975.1_ASM245197v1,13.19,12.62,37.93,20.41,3.12,46,79,134,37,33
GCA_002454225.1_ASM245422v1,14.50,13.56,46.92,15.00,2.16,162,231,338,119,27
GCA_002454555.1_ASM245455v1,12.18,12.95,46.10,12.85,0.61,162,248,379,149,30
GCA_002455655.1_ASM245565v1,3.07,4.74,10.04,23.69,0.53,39,95,116,47,26
GCA_002455755.1_ASM245575v1,9.94,11.41,28.63,16.55,1.59,50,106,138,55,27
GCA_002455795.1_ASM245579v1,13.80,15.09,49.53,16.35,0.50,139,224,323,124,27
GCA_002469325.1_ASM246932v1,12.08,10.72,37.54,26.17,2.50,95,182,329,107,33
GCA_002469655.1_ASM246965v1,13.04,12.72,47.86,12.36,0.46,166,253,377,132,27
GCA_002470165.1_ASM247016v1,9.26,9.17,31.00,19.16,2.22,204,262,478,198,21
GCA_002470465.1_ASM247046v1,14.33,13.47,48.49,12.95,0.25,160,257,354,119,22
GCA_002476985.1_ASM247698v1,55.10,41.55,27.40,12.27,6.69,130,209,475,262,40
GCA_002478435.1_ASM247843v1,20.89,17.72,57.39,21.79,4.61,200,333,442,148,34
GCA_002478985.1_ASM247898v1,12.96,12.21,37.09,20.04,2.88,43,81,119,28,26
GCA_002479115.1_ASM247911v1,13.01,12.11,37.19,20.81,2.62,48,92,139,29,23
GCA_002480085.1_ASM248008v1,12.82,13.19,48.23,11.84,0.46,167,253,390,149,21
GCA_002482285.1_ASM248228v1,12.93,13.18,48.11,12.15,0.43,176,252,391,139,26
GCA_002483005.1_ASM248300v1,25.27,20.29,61.48,29.02,5.91,147,226,325,93,36
GCA_002483925.1_ASM248392v1,19.59,16.77,50.87,53.49,1.38,216,343,472,117,38
GCA_002493395.1_ASM249339v1,4.02,4.46,9.87,16.78,0.73,23,68,102,42,19
GCA_002501325.1_ASM250132v1,12.11,11.14,34.77,19.78,2.53,52,92,138,32,26
